Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0548-322,00035008002,53488.01,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.28 ± 0.06,16.83 ± 0.09,15.98 ± 0.07,16.36 ± 0.06,16.32 ± 0.05,16.34 ± 0.07,(0.44 ± 0.02) × 10⁻¹¹,(0.6 ± 0.05) × 10⁻¹¹,(0.91 ± 0.06) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(0.41 ± 0.02) × 10⁻¹¹
PKS 0548-322,00035008003,53503.82,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.4 ± 0.08,16.94 ± 0.11,15.95 ± 0.08,16.42 ± 0.08,16.45 ± 0.06,16.43 ± 0.08,(0.39 ± 0.03) × 10⁻¹¹,(0.54 ± 0.05) × 10⁻¹¹,(0.94 ± 0.07) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹,(0.38 ± 0.03) × 10⁻¹¹
PKS 0548-322,00035008004,53504.3,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.62 ± 0.14,-,15.86 ± 0.12,16.51 ± 0.12,16.69 ± 0.1,16.46 ± 0.12,(0.32 ± 0.04) × 10⁻¹¹,-,(1.02 ± 0.12) × 10⁻¹¹,(0.32 ± 0.04) × 10⁻¹¹,(2.82 ± 0.25) × 10⁻¹²,(0.37 ± 0.04) × 10⁻¹¹
PKS 0548-322,00035008005,53511.69,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.43 ± 0.05,16.81 ± 0.05,16.07 ± 0.06,16.33 ± 0.05,16.37 ± 0.04,16.27 ± 0.05,(0.38 ± 0.02) × 10⁻¹¹,(0.61 ± 0.03) × 10⁻¹¹,(0.84 ± 0.04) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹,(0.38 ± 0.01) × 10⁻¹¹,(0.44 ± 0.02) × 10⁻¹¹
PKS 0548-322,00035008006,53514.5,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.46 ± 0.09,16.82 ± 0.15,15.89 ± 0.09,16.47 ± 0.09,16.36 ± 0.07,16.51 ± 0.1,(0.38 ± 0.03) × 10⁻¹¹,(0.61 ± 0.08) × 10⁻¹¹,(1.0 ± 0.08) × 10⁻¹¹,(0.33 ± 0.03) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹
PKS 0548-322,00035008007,53516.24,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.56 ± 0.1,16.91 ± 0.15,15.85 ± 0.09,16.4 ± 0.09,16.44 ± 0.07,16.41 ± 0.09,(0.34 ± 0.03) × 10⁻¹¹,(0.56 ± 0.08) × 10⁻¹¹,(1.03 ± 0.08) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹,(0.38 ± 0.03) × 10⁻¹¹
PKS 0548-322,00035008008,53519.91,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.53 ± 0.08,16.79 ± 0.1,15.97 ± 0.08,16.39 ± 0.08,16.46 ± 0.05,16.43 ± 0.08,(0.35 ± 0.03) × 10⁻¹¹,(0.62 ± 0.06) × 10⁻¹¹,(0.93 ± 0.07) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹,(0.38 ± 0.03) × 10⁻¹¹
PKS 0548-322,00030836001,54067.45,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.6 ± 0.08,16.95 ± 0.07,15.97 ± 0.07,16.61 ± 0.08,16.71 ± 0.06,16.71 ± 0.09,(0.33 ± 0.02) × 10⁻¹¹,(0.54 ± 0.03) × 10⁻¹¹,(0.92 ± 0.06) × 10⁻¹¹,(2.92 ± 0.21) × 10⁻¹²,(2.78 ± 0.16) × 10⁻¹²,(2.91 ± 0.25) × 10⁻¹²
PKS 0548-322,00030836003,55267.44,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.45 ± 0.06,16.92 ± 0.05,16.0 ± 0.06,16.49 ± 0.06,16.59 ± 0.04,16.44 ± 0.06,(0.38 ± 0.02) × 10⁻¹¹,(0.55 ± 0.03) × 10⁻¹¹,(0.9 ± 0.05) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(3.12 ± 0.13) × 10⁻¹²,(0.37 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836004,55267.95,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.5 ± 0.04,-,-,16.51 ± 0.03,-,-,(0.36 ± 0.01) × 10⁻¹¹,-,-,(0.32 ± 0.01) × 10⁻¹¹,-,-
PKS 0548-322,00030836005,56019.92,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.46 ± 0.07,16.83 ± 0.07,15.92 ± 0.07,16.43 ± 0.07,16.57 ± 0.05,16.38 ± 0.06,(0.37 ± 0.03) × 10⁻¹¹,(0.6 ± 0.04) × 10⁻¹¹,(0.97 ± 0.06) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(3.16 ± 0.15) × 10⁻¹²,(0.39 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836006,56020.44,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.33 ± 0.07,16.71 ± 0.06,15.91 ± 0.07,16.44 ± 0.07,16.44 ± 0.05,16.36 ± 0.07,(0.42 ± 0.03) × 10⁻¹¹,(0.67 ± 0.04) × 10⁻¹¹,(0.98 ± 0.06) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹,(0.4 ± 0.03) × 10⁻¹¹
PKS 0548-322,00030836007,56021.74,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.43 ± 0.07,16.81 ± 0.06,16.0 ± 0.07,16.36 ± 0.06,16.39 ± 0.05,16.47 ± 0.07,(0.38 ± 0.02) × 10⁻¹¹,(0.61 ± 0.04) × 10⁻¹¹,(0.9 ± 0.05) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(0.36 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836008,56022.55,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.48 ± 0.05,16.87 ± 0.05,16.01 ± 0.05,16.45 ± 0.05,16.49 ± 0.04,16.41 ± 0.05,(0.37 ± 0.02) × 10⁻¹¹,(0.58 ± 0.02) × 10⁻¹¹,(0.89 ± 0.04) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836009,56023.52,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.37 ± 0.05,16.78 ± 0.04,16.01 ± 0.05,16.49 ± 0.05,16.48 ± 0.04,16.4 ± 0.05,(0.4 ± 0.02) × 10⁻¹¹,(0.63 ± 0.03) × 10⁻¹¹,(0.89 ± 0.04) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836010,56024.75,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.52 ± 0.06,16.65 ± 0.05,15.97 ± 0.06,16.46 ± 0.06,16.56 ± 0.05,16.39 ± 0.07,(0.35 ± 0.02) × 10⁻¹¹,(0.71 ± 0.03) × 10⁻¹¹,(0.92 ± 0.05) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹
PKS 0548-322,00030836011,56025.8,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.57 ± 0.07,16.86 ± 0.06,16.12 ± 0.07,16.51 ± 0.07,16.48 ± 0.05,16.38 ± 0.07,(0.34 ± 0.02) × 10⁻¹¹,(0.58 ± 0.03) × 10⁻¹¹,(0.8 ± 0.06) × 10⁻¹¹,(0.32 ± 0.02) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.39 ± 0.03) × 10⁻¹¹
PKS 0548-322,00030836012,56026.7,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.56 ± 0.07,16.78 ± 0.06,16.0 ± 0.07,16.56 ± 0.07,16.57 ± 0.05,16.45 ± 0.08,(0.34 ± 0.02) × 10⁻¹¹,(0.63 ± 0.03) × 10⁻¹¹,(0.9 ± 0.06) × 10⁻¹¹,(3.06 ± 0.21) × 10⁻¹²,(0.32 ± 0.02) × 10⁻¹¹,(0.37 ± 0.03) × 10⁻¹¹
PKS 0548-322,00030836013,56027.16,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.57 ± 0.09,16.86 ± 0.07,15.97 ± 0.08,16.48 ± 0.08,16.62 ± 0.06,16.4 ± 0.08,(0.34 ± 0.03) × 10⁻¹¹,(0.58 ± 0.04) × 10⁻¹¹,(0.92 ± 0.07) × 10⁻¹¹,(0.33 ± 0.02) × 10⁻¹¹,(3.01 ± 0.17) × 10⁻¹²,(0.39 ± 0.03) × 10⁻¹¹
PKS 0548-322,00030836014,56029.56,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.44 ± 0.06,16.88 ± 0.06,16.05 ± 0.06,16.44 ± 0.06,16.54 ± 0.05,16.43 ± 0.07,(0.38 ± 0.02) × 10⁻¹¹,(0.57 ± 0.03) × 10⁻¹¹,(0.85 ± 0.05) × 10⁻¹¹,(0.34 ± 0.02) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹¹,(0.38 ± 0.02) × 10⁻¹¹
PKS 0548-322,07018405001,58613.22,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.4 ± 0.09,-,-,-,-,-,(0.39 ± 0.03) × 10⁻¹¹,-,-,-,-,-
PKS 0548-322,07018438001,58613.35,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,16.4 ± 0.07,-,-,-,-,-,(0.39 ± 0.03) × 10⁻¹¹,-,-,-,-,-
PKS 0548-322,00089123001,59049.78,87.66898,-32.27143,5 50 40.5552,-32 16 17.148,-,-,-,-,16.52 ± 0.03,-,-,-,-,-,(0.33 ± 0.01) × 10⁻¹¹,-
