Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 2344+514,00035031001,53479.86,356.77015,51.70497,23 47 04.836,51 42 17.892,16.24 ± 0.1,16.74 ± 0.14,15.54 ± 0.08,16.53 ± 0.1,17.03 ± 0.09,16.95 ± 0.12,(1.0 ± 0.09) × 10⁻¹¹,(1.25 ± 0.16) × 10⁻¹¹,(2.22 ± 0.17) × 10⁻¹¹,(0.9 ± 0.08) × 10⁻¹¹,(0.76 ± 0.06) × 10⁻¹¹,(1.02 ± 0.12) × 10⁻¹¹
1ES 2344+514,00035031005,54400.47,356.77015,51.70497,23 47 04.836,51 42 17.892,16.39 ± 0.03,-,-,-,-,-,(0.87 ± 0.02) × 10⁻¹¹,-,-,-,-,-
1ES 2344+514,00035031006,54407.17,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,16.83 ± 0.04,-,-,-,-,-,(0.68 ± 0.03) × 10⁻¹¹,-,-
1ES 2344+514,00035031007,54414.22,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,-,-,17.56 ± 0.07,-,-,-,-,-,(0.58 ± 0.04) × 10⁻¹¹
1ES 2344+514,00035031008,54421.11,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,-,17.16 ± 0.03,-,-,-,-,-,(0.67 ± 0.02) × 10⁻¹¹,-
1ES 2344+514,00035031009,54434.26,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,-,-,17.33 ± 0.1,-,-,-,-,-,(0.72 ± 0.06) × 10⁻¹¹
1ES 2344+514,00035031010,54442.18,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,-,-,17.3 ± 0.05,-,-,-,-,-,(0.73 ± 0.03) × 10⁻¹¹
1ES 2344+514,00035031011,54456.59,356.77015,51.70497,23 47 04.836,51 42 17.892,16.35 ± 0.03,-,-,-,-,-,(0.91 ± 0.03) × 10⁻¹¹,-,-,-,-,-
1ES 2344+514,00035031012,54466.5,356.77015,51.70497,23 47 04.836,51 42 17.892,-,-,-,-,-,17.3 ± 0.16,-,-,-,-,-,(0.73 ± 0.11) × 10⁻¹¹
1ES 2344+514,00035031013,54680.83,356.77015,51.70497,23 47 04.836,51 42 17.892,16.53 ± 0.06,16.48 ± 0.05,15.48 ± 0.05,17.07 ± 0.08,17.44 ± 0.07,17.44 ± 0.12,(0.77 ± 0.04) × 10⁻¹¹,(1.57 ± 0.07) × 10⁻¹¹,(2.34 ± 0.11) × 10⁻¹¹,(0.55 ± 0.04) × 10⁻¹¹,(0.52 ± 0.03) × 10⁻¹¹,(0.64 ± 0.07) × 10⁻¹¹
1ES 2344+514,00035031014,54686.3,356.77015,51.70497,23 47 04.836,51 42 17.892,16.6 ± 0.08,16.59 ± 0.06,15.52 ± 0.06,17.33 ± 0.12,17.41 ± 0.09,17.65 ± 0.18,(0.72 ± 0.05) × 10⁻¹¹,(1.43 ± 0.08) × 10⁻¹¹,(2.26 ± 0.13) × 10⁻¹¹,(0.43 ± 0.05) × 10⁻¹¹,(0.53 ± 0.04) × 10⁻¹¹,(0.53 ± 0.09) × 10⁻¹¹
1ES 2344+514,00035031015,54694.82,356.77015,51.70497,23 47 04.836,51 42 17.892,16.62 ± 0.06,16.62 ± 0.05,15.54 ± 0.05,17.29 ± 0.09,17.95 ± 0.09,17.64 ± 0.11,(0.71 ± 0.04) × 10⁻¹¹,(1.39 ± 0.06) × 10⁻¹¹,(2.22 ± 0.1) × 10⁻¹¹,(0.45 ± 0.04) × 10⁻¹¹,(0.33 ± 0.03) × 10⁻¹¹,(0.54 ± 0.05) × 10⁻¹¹
1ES 2344+514,00035031016,54700.46,356.77015,51.70497,23 47 04.836,51 42 17.892,16.75 ± 0.07,16.62 ± 0.05,15.56 ± 0.05,17.16 ± 0.08,17.59 ± 0.08,17.71 ± 0.12,(0.63 ± 0.04) × 10⁻¹¹,(1.38 ± 0.06) × 10⁻¹¹,(2.18 ± 0.1) × 10⁻¹¹,(0.5 ± 0.04) × 10⁻¹¹,(0.46 ± 0.03) × 10⁻¹¹,(0.5 ± 0.06) × 10⁻¹¹
1ES 2344+514,00035031017,54714.25,356.77015,51.70497,23 47 04.836,51 42 17.892,16.47 ± 0.05,16.5 ± 0.04,15.5 ± 0.04,16.97 ± 0.06,17.44 ± 0.06,17.41 ± 0.09,(0.81 ± 0.04) × 10⁻¹¹,(1.55 ± 0.06) × 10⁻¹¹,(2.3 ± 0.09) × 10⁻¹¹,(0.6 ± 0.04) × 10⁻¹¹,(0.52 ± 0.03) × 10⁻¹¹,(0.66 ± 0.05) × 10⁻¹¹
1ES 2344+514,00035031018,54721.9,356.77015,51.70497,23 47 04.836,51 42 17.892,16.54 ± 0.07,16.53 ± 0.05,15.47 ± 0.05,17.12 ± 0.09,17.51 ± 0.08,17.56 ± 0.11,(0.76 ± 0.05) × 10⁻¹¹,(1.51 ± 0.07) × 10⁻¹¹,(2.38 ± 0.12) × 10⁻¹¹,(0.52 ± 0.04) × 10⁻¹¹,(0.49 ± 0.04) × 10⁻¹¹,(0.58 ± 0.06) × 10⁻¹¹
