Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
S4 0954+65,00035381001,53920.28,149.69685,65.56523,9 58 47.244,65 33 54.828,17.58 ± 0.1,18.4 ± 0.13,17.62 ± 0.15,18.07 ± 0.12,18.37 ± 0.09,18.36 ± 0.14,(1.95 ± 0.19) × 10⁻¹²,(1.93 ± 0.24) × 10⁻¹²,(2.56 ± 0.36) × 10⁻¹²,(1.26 ± 0.14) × 10⁻¹²,(1.13 ± 0.1) × 10⁻¹²,(1.29 ± 0.17) × 10⁻¹²
S4 0954+65,00036326001,54187.5,149.69685,65.56523,9 58 47.244,65 33 54.828,17.0 ± 0.07,17.65 ± 0.07,-,17.58 ± 0.83,17.08 ± 0.22,-,(0.33 ± 0.02) × 10⁻¹¹,(0.39 ± 0.02) × 10⁻¹¹,-,(1.98 ± 1.51) × 10⁻¹²,(0.37 ± 0.07) × 10⁻¹¹,-
S4 0954+65,00036326002,54475.32,149.69685,65.56523,9 58 47.244,65 33 54.828,16.73 ± 0.1,17.36 ± 0.1,16.96 ± 0.16,16.96 ± 0.1,17.45 ± 0.09,17.44 ± 0.14,(0.43 ± 0.04) × 10⁻¹¹,(0.5 ± 0.05) × 10⁻¹¹,(0.47 ± 0.07) × 10⁻¹¹,(0.35 ± 0.03) × 10⁻¹¹,(2.64 ± 0.22) × 10⁻¹²,(3.04 ± 0.38) × 10⁻¹²
S4 0954+65,00036326003,54476.29,149.69685,65.56523,9 58 47.244,65 33 54.828,16.73 ± 0.12,17.38 ± 0.13,16.82 ± 0.18,17.35 ± 0.15,17.42 ± 0.11,17.34 ± 0.17,(0.43 ± 0.05) × 10⁻¹¹,(0.49 ± 0.06) × 10⁻¹¹,(0.53 ± 0.09) × 10⁻¹¹,(2.44 ± 0.33) × 10⁻¹²,(2.73 ± 0.27) × 10⁻¹²,(0.33 ± 0.05) × 10⁻¹¹
S4 0954+65,00036326004,54480.74,149.69685,65.56523,9 58 47.244,65 33 54.828,16.97 ± 0.11,17.49 ± 0.11,16.74 ± 0.15,17.12 ± 0.11,17.64 ± 0.1,17.37 ± 0.17,(0.34 ± 0.04) × 10⁻¹¹,(0.45 ± 0.05) × 10⁻¹¹,(0.57 ± 0.08) × 10⁻¹¹,(3.02 ± 0.31) × 10⁻¹²,(2.22 ± 0.21) × 10⁻¹²,(0.32 ± 0.05) × 10⁻¹¹
S4 0954+65,00036326005,54841.07,149.69685,65.56523,9 58 47.244,65 33 54.828,17.51 ± 0.21,19.71 ± 0.97,17.91 ± 0.49,18.02 ± 0.22,18.53 ± 0.21,17.98 ± 0.26,(2.08 ± 0.4) × 10⁻¹²,(0.58 ± 0.52) × 10⁻¹²,(1.96 ± 0.88) × 10⁻¹²,(1.32 ± 0.27) × 10⁻¹²,(0.98 ± 0.19) × 10⁻¹²,(1.85 ± 0.43) × 10⁻¹²
S4 0954+65,00036326006,55137.33,149.69685,65.56523,9 58 47.244,65 33 54.828,18.0 ± 0.41,19.08 ± 0.71,17.7 ± 0.55,18.19 ± 0.3,18.81 ± 0.29,18.52 ± 0.62,(1.32 ± 0.5) × 10⁻¹²,(1.03 ± 0.68) × 10⁻¹²,(2.37 ± 1.19) × 10⁻¹²,(1.13 ± 0.31) × 10⁻¹²,(0.75 ± 0.2) × 10⁻¹²,(1.12 ± 0.64) × 10⁻¹²
S4 0954+65,00036326007,55140.52,149.69685,65.56523,9 58 47.244,65 33 54.828,17.85 ± 0.26,18.33 ± 0.26,18.44 ± 0.59,18.85 ± 0.44,18.62 ± 0.27,18.6 ± 0.51,(1.52 ± 0.36) × 10⁻¹²,(2.06 ± 0.49) × 10⁻¹²,(1.2 ± 0.65) × 10⁻¹²,(0.62 ± 0.25) × 10⁻¹²,(0.9 ± 0.22) × 10⁻¹²,(1.04 ± 0.49) × 10⁻¹²
S4 0954+65,00036326008,55177.88,149.69685,65.56523,9 58 47.244,65 33 54.828,-,-,-,-,17.52 ± 0.07,-,-,-,-,-,(2.47 ± 0.15) × 10⁻¹²,-
S4 0954+65,00090100001,55219.78,149.69685,65.56523,9 58 47.244,65 33 54.828,17.2 ± 0.05,17.85 ± 0.07,17.01 ± 0.09,17.51 ± 0.05,-,-,(2.75 ± 0.12) × 10⁻¹²,(0.32 ± 0.02) × 10⁻¹¹,(0.45 ± 0.04) × 10⁻¹¹,(2.11 ± 0.09) × 10⁻¹²,-,-
