Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 1130+009,00033647001,57072.4,173.33357,0.68134,11 33 20.0568,0 40 52.824,19.01 ± 0.3,19.17 ± 0.26,18.93 ± 0.49,18.71 ± 0.22,19.19 ± 0.19,19.23 ± 0.21,(0.34 ± 0.1) × 10⁻¹²,(0.68 ± 0.16) × 10⁻¹²,(0.59 ± 0.27) × 10⁻¹²,(0.4 ± 0.08) × 10⁻¹²,(2.67 ± 0.47) × 10⁻¹³,(2.66 ± 0.52) × 10⁻¹³
PKS 1130+009,00033647002,57074.17,173.33357,0.68134,11 33 20.0568,0 40 52.824,18.57 ± 0.15,-,-,18.94 ± 0.25,19.16 ± 0.25,19.17 ± 0.32,(0.51 ± 0.07) × 10⁻¹²,-,-,(0.32 ± 0.07) × 10⁻¹²,(2.74 ± 0.64) × 10⁻¹³,(2.82 ± 0.84) × 10⁻¹³
PKS 1130+009,00033647003,57075.76,173.33357,0.68134,11 33 20.0568,0 40 52.824,18.53 ± 0.19,-,-,18.55 ± 0.22,18.94 ± 0.28,19.02 ± 0.36,(0.54 ± 0.09) × 10⁻¹²,-,-,(0.46 ± 0.09) × 10⁻¹²,(0.33 ± 0.09) × 10⁻¹²,(0.32 ± 0.11) × 10⁻¹²
PKS 1130+009,00033647004,57078.33,173.33357,0.68134,11 33 20.0568,0 40 52.824,19.09 ± 0.19,-,-,18.76 ± 0.18,19.89 ± 0.34,19.07 ± 0.25,(0.32 ± 0.06) × 10⁻¹²,-,-,(0.38 ± 0.06) × 10⁻¹²,(1.41 ± 0.44) × 10⁻¹³,(3.08 ± 0.7) × 10⁻¹³
PKS 1130+009,00033647006,57083.12,173.33357,0.68134,11 33 20.0568,0 40 52.824,19.0 ± 0.17,-,-,19.18 ± 0.27,19.19 ± 0.21,19.43 ± 0.31,(0.35 ± 0.06) × 10⁻¹²,-,-,(2.59 ± 0.63) × 10⁻¹³,(2.67 ± 0.51) × 10⁻¹³,(2.21 ± 0.63) × 10⁻¹³
PKS 1130+009,00033647007,57083.41,173.33357,0.68134,11 33 20.0568,0 40 52.824,22.78 ± 31.46,-,-,-,-,-,(1.07 ± 30.99) × 10⁻¹⁴,-,-,-,-,-
PKS 1130+009,00033647008,57084.35,173.33357,0.68134,11 33 20.0568,0 40 52.824,18.94 ± 0.13,-,-,19.27 ± 0.2,19.57 ± 0.21,19.13 ± 0.2,(0.37 ± 0.04) × 10⁻¹²,-,-,(2.39 ± 0.43) × 10⁻¹³,(1.87 ± 0.36) × 10⁻¹³,(2.92 ± 0.53) × 10⁻¹³
PKS 1130+009,00033647009,57089.98,173.33357,0.68134,11 33 20.0568,0 40 52.824,20.21 ± 1.06,20.03 ± 0.68,19.68 ± 1.19,19.04 ± 0.27,19.57 ± 0.26,19.27 ± 0.21,(1.14 ± 1.11) × 10⁻¹³,(3.06 ± 1.93) × 10⁻¹³,(2.96 ± 3.25) × 10⁻¹³,(2.97 ± 0.73) × 10⁻¹³,(1.89 ± 0.46) × 10⁻¹³,(2.58 ± 0.5) × 10⁻¹³
PKS 1130+009,00033647010,57090.48,173.33357,0.68134,11 33 20.0568,0 40 52.824,18.94 ± 0.07,-,-,-,-,-,(0.37 ± 0.02) × 10⁻¹²,-,-,-,-,-
PKS 1130+009,00033647013,57098.99,173.33357,0.68134,11 33 20.0568,0 40 52.824,18.52 ± 0.21,19.43 ± 0.31,19.84 ± 1.07,19.04 ± 0.26,19.31 ± 0.2,19.05 ± 0.26,(0.54 ± 0.11) × 10⁻¹²,(0.53 ± 0.15) × 10⁻¹²,(2.56 ± 2.51) × 10⁻¹³,(2.95 ± 0.71) × 10⁻¹³,(2.38 ± 0.43) × 10⁻¹³,(3.13 ± 0.76) × 10⁻¹³
