Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 0647+250,00039137001,55322.62,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,-,-,15.96 ± 0.03,-,-,-,-,-,(0.99 ± 0.03) × 10⁻¹¹
1ES 0647+250,00041535001,55477.21,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,15.65 ± 0.03,15.85 ± 0.03,15.79 ± 0.04,-,-,-,(1.03 ± 0.03) × 10⁻¹¹,(0.99 ± 0.03) × 10⁻¹¹,(1.15 ± 0.04) × 10⁻¹¹
1ES 0647+250,00041535002,55482.23,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,15.66 ± 0.03,15.89 ± 0.03,15.82 ± 0.04,-,-,-,(1.02 ± 0.03) × 10⁻¹¹,(0.95 ± 0.03) × 10⁻¹¹,(1.13 ± 0.04) × 10⁻¹¹
1ES 0647+250,00041535003,55487.25,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,15.69 ± 0.03,15.84 ± 0.04,15.89 ± 0.04,-,-,-,(1.0 ± 0.03) × 10⁻¹¹,(0.99 ± 0.03) × 10⁻¹¹,(1.05 ± 0.04) × 10⁻¹¹
1ES 0647+250,00041535004,55492.2,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,15.59 ± 0.04,15.8 ± 0.04,15.74 ± 0.05,-,-,-,(1.09 ± 0.04) × 10⁻¹¹,(1.03 ± 0.04) × 10⁻¹¹,(1.22 ± 0.05) × 10⁻¹¹
1ES 0647+250,00041535005,55506.24,102.69371,25.04989,6 50 46.4904,25 02 59.604,-,-,-,15.7 ± 0.04,15.9 ± 0.04,15.79 ± 0.04,-,-,-,(0.99 ± 0.03) × 10⁻¹¹,(0.94 ± 0.03) × 10⁻¹¹,(1.16 ± 0.04) × 10⁻¹¹
1ES 0647+250,00041535006,55511.46,102.69371,25.04989,6 50 46.4904,25 02 59.604,15.62 ± 0.04,16.49 ± 0.04,16.03 ± 0.06,15.69 ± 0.04,15.87 ± 0.03,15.81 ± 0.04,(1.08 ± 0.04) × 10⁻¹¹,(1.04 ± 0.04) × 10⁻¹¹,(1.04 ± 0.05) × 10⁻¹¹,(1.0 ± 0.04) × 10⁻¹¹,(0.96 ± 0.03) × 10⁻¹¹,(1.13 ± 0.04) × 10⁻¹¹
1ES 0647+250,00041535007,55516.24,102.69371,25.04989,6 50 46.4904,25 02 59.604,15.68 ± 0.06,16.57 ± 0.06,16.07 ± 0.09,15.79 ± 0.06,15.97 ± 0.05,15.97 ± 0.07,(1.02 ± 0.05) × 10⁻¹¹,(0.97 ± 0.05) × 10⁻¹¹,(1.0 ± 0.08) × 10⁻¹¹,(0.91 ± 0.05) × 10⁻¹¹,(0.88 ± 0.04) × 10⁻¹¹,(0.98 ± 0.07) × 10⁻¹¹
1ES 0647+250,00041535008,55521.24,102.69371,25.04989,6 50 46.4904,25 02 59.604,15.58 ± 0.06,16.5 ± 0.07,16.0 ± 0.1,15.69 ± 0.06,15.95 ± 0.05,15.84 ± 0.08,(1.12 ± 0.06) × 10⁻¹¹,(1.03 ± 0.06) × 10⁻¹¹,(1.07 ± 0.1) × 10⁻¹¹,(1.0 ± 0.06) × 10⁻¹¹,(0.9 ± 0.04) × 10⁻¹¹,(1.11 ± 0.08) × 10⁻¹¹
1ES 0647+250,00041535009,55526.6,102.69371,25.04989,6 50 46.4904,25 02 59.604,15.67 ± 0.04,16.52 ± 0.04,16.16 ± 0.06,15.68 ± 0.04,15.94 ± 0.04,15.87 ± 0.05,(1.02 ± 0.04) × 10⁻¹¹,(1.01 ± 0.04) × 10⁻¹¹,(0.93 ± 0.05) × 10⁻¹¹,(1.0 ± 0.04) × 10⁻¹¹,(0.91 ± 0.03) × 10⁻¹¹,(1.07 ± 0.05) × 10⁻¹¹
