Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 1959+650,00035025001,53479.32,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.83 ± 0.05,15.71 ± 0.07,14.95 ± 0.06,15.06 ± 0.05,15.18 ± 0.04,15.21 ± 0.05,(3.09 ± 0.14) × 10⁻¹¹,(2.78 ± 0.18) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹⁰,(2.78 ± 0.12) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025002,53874.68,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.73 ± 0.03,15.45 ± 0.03,14.93 ± 0.04,14.85 ± 0.03,15.01 ± 0.03,15.05 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰
1ES 1959+650,00035025003,53876.22,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.63 ± 0.04,15.43 ± 0.03,14.88 ± 0.04,14.79 ± 0.04,15.0 ± 0.03,15.01 ± 0.04,(0.37 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025004,53878.53,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.74 ± 0.03,15.48 ± 0.03,14.93 ± 0.04,14.87 ± 0.03,15.02 ± 0.03,15.03 ± 0.04,(0.34 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰
1ES 1959+650,00035025005,53879.58,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.64 ± 0.04,15.45 ± 0.04,14.89 ± 0.06,14.76 ± 0.04,14.95 ± 0.04,14.93 ± 0.05,(0.37 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.02) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.47 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025006,53880.71,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.59 ± 0.04,15.43 ± 0.04,14.87 ± 0.05,14.71 ± 0.04,14.9 ± 0.03,14.96 ± 0.05,(0.39 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.02) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025007,53881.65,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.62 ± 0.04,15.44 ± 0.04,14.8 ± 0.05,14.77 ± 0.04,14.99 ± 0.04,14.93 ± 0.05,(0.38 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.02) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.47 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025008,53882.76,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.54 ± 0.04,15.36 ± 0.04,14.77 ± 0.05,14.71 ± 0.04,14.86 ± 0.04,14.85 ± 0.05,(0.4 ± 0.02) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025009,53883.14,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.56 ± 0.03,15.38 ± 0.03,14.82 ± 0.04,14.7 ± 0.03,14.88 ± 0.03,14.91 ± 0.04,(0.4 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.48 ± 0.02) × 10⁻¹⁰
1ES 1959+650,00035025010,53884.16,299.99938,65.14851,19 59 59.8512,65 08 54.636,14.57 ± 0.03,15.31 ± 0.03,14.88 ± 0.04,14.74 ± 0.03,14.88 ± 0.03,14.85 ± 0.03,(0.39 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.37 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.02) × 10⁻¹⁰
