Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 1830-211,00038422001,55462.01,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.61 ± 0.29,20.14 ± 0.39,-,-,-,-,(1.4 ± 0.38) × 10⁻¹²,(1.36 ± 0.49) × 10⁻¹²,-,-,-,-
PKS 1830-211,00038422003,55484.73,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.5 ± 0.83,19.26 ± 0.5,18.59 ± 0.6,19.82 ± 0.71,20.64 ± 0.74,21.06 ± 1.11,(1.55 ± 1.18) × 10⁻¹²,(3.07 ± 1.4) × 10⁻¹²,(2.68 ± 1.47) × 10⁻¹²,(1.97 ± 1.28) × 10⁻¹²,(1.79 ± 1.21) × 10⁻¹²,(1.9 ± 1.94) × 10⁻¹²
PKS 1830-211,00038422004,55485.63,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.41 ± 0.5,19.29 ± 0.33,19.21 ± 0.51,19.58 ± 0.4,21.11 ± 0.74,-,(1.67 ± 0.76) × 10⁻¹²,(2.98 ± 0.9) × 10⁻¹²,(1.51 ± 0.71) × 10⁻¹²,(2.46 ± 0.91) × 10⁻¹²,(1.16 ± 0.79) × 10⁻¹²,-
PKS 1830-211,00038422005,55486.27,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.63 ± 0.73,20.63 ± 1.43,18.98 ± 0.82,20.66 ± 1.24,-,20.49 ± 0.81,(1.37 ± 0.92) × 10⁻¹²,(0.87 ± 1.15) × 10⁻¹²,(1.87 ± 1.42) × 10⁻¹²,(0.91 ± 1.04) × 10⁻¹²,-,(0.32 ± 0.24) × 10⁻¹¹
PKS 1830-211,00038422006,55487.44,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.07 ± 0.34,19.21 ± 0.3,19.14 ± 0.49,20.28 ± 1.35,20.62 ± 0.48,20.92 ± 1.14,(2.29 ± 0.71) × 10⁻¹²,(0.32 ± 0.09) × 10⁻¹¹,(1.61 ± 0.72) × 10⁻¹²,(1.29 ± 1.61) × 10⁻¹²,(1.82 ± 0.81) × 10⁻¹²,(2.17 ± 2.29) × 10⁻¹²
PKS 1830-211,00038422007,55488.55,278.4162,-21.06105,18 33 39.888,-21 03 39.78,18.91 ± 0.41,19.49 ± 0.51,19.35 ± 1.07,20.25 ± 0.91,-,20.08 ± 0.56,(2.66 ± 1.01) × 10⁻¹²,(2.5 ± 1.18) × 10⁻¹²,(1.33 ± 1.31) × 10⁻¹²,(1.32 ± 1.11) × 10⁻¹²,-,(0.47 ± 0.24) × 10⁻¹¹
PKS 1830-211,00038422008,55489.6,278.4162,-21.06105,18 33 39.888,-21 03 39.78,20.47 ± 1.59,-,21.17 ± 6.34,22.72 ± 7.9,22.81 ± 4.82,22.7 ± 6.24,(0.63 ± 0.92) × 10⁻¹²,-,(2.48 ± 14.48) × 10⁻¹³,(1.37 ± 9.95) × 10⁻¹³,(2.43 ± 10.78) × 10⁻¹³,(0.42 ± 2.42) × 10⁻¹²
PKS 1830-211,00038422009,55490.48,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.93 ± 1.03,-,-,20.05 ± 0.77,-,-,(1.04 ± 0.99) × 10⁻¹²,-,-,(1.6 ± 1.14) × 10⁻¹²,-,-
PKS 1830-211,00038422010,55491.56,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,18.42 ± 0.52,19.48 ± 0.52,24.27 ± 19.01,21.47 ± 1.98,-,-,(3.12 ± 1.5) × 10⁻¹²,(2.71 ± 1.29) × 10⁻¹²,(0.63 ± 11.01) × 10⁻¹³,(1.31 ± 2.39) × 10⁻¹²
PKS 1830-211,00038422011,55492.56,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.59 ± 0.69,21.89 ± 4.36,18.72 ± 0.64,20.51 ± 1.03,21.08 ± 0.94,20.95 ± 1.2,(1.42 ± 0.9) × 10⁻¹²,(2.73 ± 10.96) × 10⁻¹³,(2.38 ± 1.41) × 10⁻¹²,(1.05 ± 0.99) × 10⁻¹²,(1.19 ± 1.03) × 10⁻¹²,(2.11 ± 2.33) × 10⁻¹²
PKS 1830-211,00038422012,55493.96,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,18.72 ± 0.72,19.01 ± 0.36,-,-,-,-,(2.38 ± 1.59) × 10⁻¹²,(0.42 ± 0.14) × 10⁻¹¹,-,-
PKS 1830-211,00038422013,55495.49,278.4162,-21.06105,18 33 39.888,-21 03 39.78,18.91 ± 0.28,20.07 ± 0.58,19.36 ± 0.76,18.97 ± 0.22,20.61 ± 0.43,20.78 ± 0.63,(2.65 ± 0.68) × 10⁻¹²,(1.46 ± 0.78) × 10⁻¹²,(1.31 ± 0.92) × 10⁻¹²,(0.43 ± 0.09) × 10⁻¹¹,(1.84 ± 0.72) × 10⁻¹²,(2.46 ± 1.42) × 10⁻¹²
PKS 1830-211,00038422014,55496.4,278.4162,-21.06105,18 33 39.888,-21 03 39.78,22.3 ± 7.95,20.45 ± 1.15,-,20.4 ± 0.95,21.41 ± 1.24,-,(1.17 ± 8.6) × 10⁻¹³,(1.03 ± 1.09) × 10⁻¹²,-,(1.15 ± 1.01) × 10⁻¹²,(0.88 ± 1.0) × 10⁻¹²,-
PKS 1830-211,00038422015,55650.85,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.09 ± 0.25,-,18.51 ± 0.21,-,-,-,(2.25 ± 0.53) × 10⁻¹²,-,(2.88 ± 0.57) × 10⁻¹²,-,-,-
PKS 1830-211,00081222001,57137.39,278.4162,-21.06105,18 33 39.888,-21 03 39.78,20.11 ± 0.78,18.97 ± 0.23,18.38 ± 0.34,19.85 ± 0.49,20.23 ± 0.24,-,(0.88 ± 0.63) × 10⁻¹²,(0.4 ± 0.09) × 10⁻¹¹,(0.32 ± 0.1) × 10⁻¹¹,(1.91 ± 0.87) × 10⁻¹²,(2.61 ± 0.57) × 10⁻¹²,-
PKS 1830-211,00081222002,57490.9,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.5 ± 0.75,20.27 ± 1.2,18.8 ± 0.85,19.58 ± 0.65,19.78 ± 0.46,-,(1.55 ± 1.06) × 10⁻¹²,(1.21 ± 1.34) × 10⁻¹²,(2.21 ± 1.74) × 10⁻¹²,(2.45 ± 1.48) × 10⁻¹²,(0.39 ± 0.17) × 10⁻¹¹,-
PKS 1830-211,00038422018,57501.87,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,19.83 ± 0.23,-,-,-,-,-,(0.37 ± 0.08) × 10⁻¹¹,-
PKS 1830-211,00038422019,57509.53,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,20.85 ± 0.51,-,-,-,-,-,(1.46 ± 0.68) × 10⁻¹²,-
PKS 1830-211,00038422020,57511.8,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,24.05 ± 18.13,-,-,-,-,-,(0.4 ± 6.7) × 10⁻¹³,-,-
PKS 1830-211,00038422021,57512.73,278.4162,-21.06105,18 33 39.888,-21 03 39.78,18.72 ± 0.15,-,-,-,-,-,(0.32 ± 0.04) × 10⁻¹¹,-,-,-,-,-
PKS 1830-211,00038422022,57514.46,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,-,20.63 ± 0.68,-,-,-,-,-,(2.84 ± 1.79) × 10⁻¹²
PKS 1830-211,00038422023,57519.5,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,20.65 ± 0.98,-,-,-,-,-,(0.91 ± 0.83) × 10⁻¹²,-,-
PKS 1830-211,00038422024,57526.55,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,-,22.36 ± 2.57,-,-,-,-,-,(0.58 ± 1.37) × 10⁻¹²
PKS 1830-211,00038422025,57527.85,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,20.32 ± 0.51,-,-,-,-,-,(1.24 ± 0.58) × 10⁻¹²,-,-
PKS 1830-211,00038422026,57535.42,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,19.45 ± 0.16,-,-,-,-,-,(2.78 ± 0.41) × 10⁻¹²,-,-
PKS 1830-211,00038422027,57543.11,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,19.2 ± 0.4,-,21.44 ± 2.08,-,-,-,(0.35 ± 0.13) × 10⁻¹¹,-,(1.34 ± 2.58) × 10⁻¹²
PKS 1830-211,00038422028,57545.05,278.4162,-21.06105,18 33 39.888,-21 03 39.78,18.94 ± 0.19,-,-,-,20.97 ± 0.9,-,(2.59 ± 0.45) × 10⁻¹²,-,-,-,(1.31 ± 1.09) × 10⁻¹²,-
PKS 1830-211,00038422029,57548.84,278.4162,-21.06105,18 33 39.888,-21 03 39.78,20.12 ± 1.09,-,-,-,-,-,(0.87 ± 0.88) × 10⁻¹²,-,-,-,-,-
PKS 1830-211,00038422031,57553.37,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,20.54 ± 0.49,-,-,-,-,-,(1.96 ± 0.89) × 10⁻¹²,-
PKS 1830-211,00038422033,57555.36,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,20.23 ± 0.62,-,-,-,-,-,(1.35 ± 0.77) × 10⁻¹²,-,-
PKS 1830-211,00038422034,57556.84,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.06 ± 0.23,-,-,-,-,-,(2.32 ± 0.5) × 10⁻¹²,-,-,-,-,-
PKS 1830-211,00038422035,58545.32,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,21.58 ± 0.82,-,-,-,-,-,(0.75 ± 0.56) × 10⁻¹²,-
PKS 1830-211,00038422036,58548.94,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.46 ± 0.2,-,-,-,-,-,(1.61 ± 0.29) × 10⁻¹²,-,-,-,-,-
PKS 1830-211,00038422037,58551.21,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,19.53 ± 0.25,-,-,-,-,-,(2.57 ± 0.59) × 10⁻¹²,-,-
PKS 1830-211,00038422039,58558.34,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,-,21.47 ± 1.66,-,-,-,-,-,(1.31 ± 1.99) × 10⁻¹²
PKS 1830-211,00038422040,58560.2,278.4162,-21.06105,18 33 39.888,-21 03 39.78,18.67 ± 0.12,-,-,-,-,-,(0.33 ± 0.04) × 10⁻¹¹,-,-,-,-,-
PKS 1830-211,00038422041,58563.59,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,19.68 ± 0.37,-,-,-,-,-,(2.25 ± 0.77) × 10⁻¹²,-,-
PKS 1830-211,00038422042,58566.74,278.4162,-21.06105,18 33 39.888,-21 03 39.78,-,-,-,-,-,20.85 ± 0.6,-,-,-,-,-,(2.32 ± 1.29) × 10⁻¹²
PKS 1830-211,00038422044,58567.64,278.4162,-21.06105,18 33 39.888,-21 03 39.78,19.28 ± 0.58,19.09 ± 0.4,18.83 ± 0.87,-,20.13 ± 0.6,-,(1.89 ± 1.01) × 10⁻¹²,(0.36 ± 0.13) × 10⁻¹¹,(2.15 ± 1.72) × 10⁻¹²,-,(2.85 ± 1.57) × 10⁻¹²,-
