Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0208-512,00041512021,58834.93,32.6925,-51.01719,2 10 46.2,-51 01 01.884,15.03 ± 0.04,15.98 ± 0.04,15.53 ± 0.05,15.12 ± 0.04,15.33 ± 0.04,15.09 ± 0.03,(1.3 ± 0.05) × 10⁻¹¹,(1.24 ± 0.04) × 10⁻¹¹,(1.33 ± 0.07) × 10⁻¹¹,(1.05 ± 0.04) × 10⁻¹¹,(0.89 ± 0.03) × 10⁻¹¹,(1.13 ± 0.04) × 10⁻¹¹
PKS 0208-512,00041512023,58835.36,32.6925,-51.01719,2 10 46.2,-51 01 01.884,15.25 ± 0.04,16.17 ± 0.04,15.67 ± 0.06,15.33 ± 0.04,15.53 ± 0.04,15.33 ± 0.05,(1.06 ± 0.04) × 10⁻¹¹,(1.04 ± 0.04) × 10⁻¹¹,(1.17 ± 0.06) × 10⁻¹¹,(0.86 ± 0.03) × 10⁻¹¹,(0.74 ± 0.03) × 10⁻¹¹,(0.91 ± 0.04) × 10⁻¹¹
PKS 0208-512,00041512020,58835.78,32.6925,-51.01719,2 10 46.2,-51 01 01.884,-,-,-,15.3 ± 0.03,-,-,-,-,-,(0.89 ± 0.02) × 10⁻¹¹,-,-
PKS 0208-512,00041512025,58836.12,32.6925,-51.01719,2 10 46.2,-51 01 01.884,15.3 ± 0.05,16.2 ± 0.06,15.73 ± 0.08,15.3 ± 0.06,15.7 ± 0.05,15.29 ± 0.08,(1.02 ± 0.05) × 10⁻¹¹,(1.02 ± 0.05) × 10⁻¹¹,(1.1 ± 0.08) × 10⁻¹¹,(0.88 ± 0.05) × 10⁻¹¹,(0.63 ± 0.03) × 10⁻¹¹,(0.95 ± 0.07) × 10⁻¹¹
PKS 0208-512,00041512026,58838.41,32.6925,-51.01719,2 10 46.2,-51 01 01.884,-,-,-,-,-,15.43 ± 0.04,-,-,-,-,-,(0.83 ± 0.03) × 10⁻¹¹
PKS 0208-512,00041512027,58841.75,32.6925,-51.01719,2 10 46.2,-51 01 01.884,-,-,-,-,15.72 ± 0.04,-,-,-,-,-,(0.62 ± 0.02) × 10⁻¹¹,-
PKS 0208-512,00035002131,58917.25,32.6925,-51.01719,2 10 46.2,-51 01 01.884,14.58 ± 0.03,15.35 ± 0.03,14.93 ± 0.04,14.6 ± 0.03,14.89 ± 0.03,14.65 ± 0.03,(1.98 ± 0.06) × 10⁻¹¹,(2.21 ± 0.06) × 10⁻¹¹,(2.3 ± 0.08) × 10⁻¹¹,(1.7 ± 0.05) × 10⁻¹¹,(1.33 ± 0.03) × 10⁻¹¹,(1.71 ± 0.05) × 10⁻¹¹
PKS 0208-512,00035002132,58920.27,32.6925,-51.01719,2 10 46.2,-51 01 01.884,14.86 ± 0.04,15.63 ± 0.04,15.18 ± 0.05,14.94 ± 0.04,15.26 ± 0.03,15.0 ± 0.04,(1.53 ± 0.05) × 10⁻¹¹,(1.72 ± 0.06) × 10⁻¹¹,(1.83 ± 0.08) × 10⁻¹¹,(1.24 ± 0.04) × 10⁻¹¹,(0.94 ± 0.03) × 10⁻¹¹,(1.23 ± 0.04) × 10⁻¹¹
PKS 0208-512,00035002133,58923.53,32.6925,-51.01719,2 10 46.2,-51 01 01.884,14.61 ± 0.04,15.39 ± 0.04,14.89 ± 0.05,14.6 ± 0.04,14.85 ± 0.03,14.62 ± 0.04,(1.91 ± 0.07) × 10⁻¹¹,(2.14 ± 0.07) × 10⁻¹¹,(2.4 ± 0.11) × 10⁻¹¹,(1.69 ± 0.06) × 10⁻¹¹,(1.37 ± 0.04) × 10⁻¹¹,(1.76 ± 0.06) × 10⁻¹¹
PKS 0208-512,00035002134,58926.42,32.6925,-51.01719,2 10 46.2,-51 01 01.884,14.93 ± 0.04,15.76 ± 0.04,15.25 ± 0.05,14.93 ± 0.03,15.2 ± 0.03,14.96 ± 0.04,(1.43 ± 0.05) × 10⁻¹¹,(1.53 ± 0.05) × 10⁻¹¹,(1.72 ± 0.07) × 10⁻¹¹,(1.25 ± 0.04) × 10⁻¹¹,(1.0 ± 0.03) × 10⁻¹¹,(1.28 ± 0.05) × 10⁻¹¹
PKS 0208-512,00035002135,58929.81,32.6925,-51.01719,2 10 46.2,-51 01 01.884,15.03 ± 0.04,15.94 ± 0.04,15.39 ± 0.05,15.05 ± 0.04,15.36 ± 0.03,15.14 ± 0.04,(1.31 ± 0.05) × 10⁻¹¹,(1.29 ± 0.05) × 10⁻¹¹,(1.51 ± 0.07) × 10⁻¹¹,(1.12 ± 0.04) × 10⁻¹¹,(0.86 ± 0.03) × 10⁻¹¹,(1.09 ± 0.04) × 10⁻¹¹
