Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0637-752,00037895001,54788.88,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.04 ± 0.04,-,-,-,-,-,(1.81 ± 0.07) × 10⁻¹¹,-,-,-,-,-
PKS 0637-752,00037895002,54791.21,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,14.73 ± 0.02,-,-,-,-,-,(2.36 ± 0.05) × 10⁻¹¹,-,-
PKS 0637-752,00037895003,54802.5,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.6 ± 0.05,-,-,-,-,-,(0.34 ± 0.01) × 10⁻¹⁰
PKS 0637-752,00037895004,54803.44,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,14.67 ± 0.03,-,-,-,-,-,(2.49 ± 0.06) × 10⁻¹¹,-,-
PKS 0637-752,00037895005,54844.62,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,14.94 ± 0.03,-,-,-,-,-,(1.99 ± 0.05) × 10⁻¹¹,-,-,-,-,-
PKS 0637-752,00037895006,55098.23,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,14.91 ± 0.03,15.75 ± 0.03,15.62 ± 0.05,14.68 ± 0.03,14.65 ± 0.03,14.57 ± 0.03,(2.05 ± 0.06) × 10⁻¹¹,(2.03 ± 0.06) × 10⁻¹¹,(1.51 ± 0.07) × 10⁻¹¹,(2.47 ± 0.07) × 10⁻¹¹,(2.9 ± 0.07) × 10⁻¹¹,(0.35 ± 0.01) × 10⁻¹⁰
PKS 0637-752,00049668001,56348.72,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.18 ± 0.04,-,-,-,-,-,(1.59 ± 0.06) × 10⁻¹¹,-,-,-,-,-
PKS 0637-752,00049668002,56602.71,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.76 ± 0.04,-,-,-,-,-,(2.9 ± 0.1) × 10⁻¹¹
PKS 0637-752,00049668004,56612.91,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.1 ± 0.04,16.04 ± 0.04,15.66 ± 0.06,14.87 ± 0.04,14.8 ± 0.03,14.72 ± 0.04,(1.71 ± 0.06) × 10⁻¹¹,(1.55 ± 0.06) × 10⁻¹¹,(1.44 ± 0.07) × 10⁻¹¹,(2.07 ± 0.07) × 10⁻¹¹,(2.53 ± 0.07) × 10⁻¹¹,(3.01 ± 0.1) × 10⁻¹¹
PKS 0637-752,00049668005,56621.58,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.06 ± 0.03,16.01 ± 0.04,15.65 ± 0.06,14.8 ± 0.04,14.8 ± 0.03,14.73 ± 0.04,(1.77 ± 0.05) × 10⁻¹¹,(1.6 ± 0.06) × 10⁻¹¹,(1.47 ± 0.08) × 10⁻¹¹,(2.22 ± 0.08) × 10⁻¹¹,(2.53 ± 0.06) × 10⁻¹¹,(2.98 ± 0.11) × 10⁻¹¹
PKS 0637-752,00049668006,56623.84,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.12 ± 0.04,15.96 ± 0.04,15.67 ± 0.05,14.89 ± 0.04,14.79 ± 0.03,14.75 ± 0.04,(1.68 ± 0.06) × 10⁻¹¹,(1.67 ± 0.06) × 10⁻¹¹,(1.44 ± 0.07) × 10⁻¹¹,(2.05 ± 0.07) × 10⁻¹¹,(2.56 ± 0.07) × 10⁻¹¹,(2.93 ± 0.1) × 10⁻¹¹
PKS 0637-752,00049668007,56635.28,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,14.82 ± 0.03,-,-,-,-,-,(2.17 ± 0.05) × 10⁻¹¹,-,-
PKS 0637-752,00049668008,56640.32,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.02 ± 0.04,16.03 ± 0.04,15.76 ± 0.06,14.81 ± 0.03,14.73 ± 0.03,14.75 ± 0.04,(1.85 ± 0.06) × 10⁻¹¹,(1.57 ± 0.06) × 10⁻¹¹,(1.33 ± 0.07) × 10⁻¹¹,(2.2 ± 0.07) × 10⁻¹¹,(2.71 ± 0.07) × 10⁻¹¹,(2.94 ± 0.1) × 10⁻¹¹
PKS 0637-752,00049668009,56669.61,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.06 ± 0.04,15.94 ± 0.04,15.7 ± 0.05,14.81 ± 0.03,14.72 ± 0.03,14.7 ± 0.03,(1.78 ± 0.06) × 10⁻¹¹,(1.7 ± 0.06) × 10⁻¹¹,(1.39 ± 0.07) × 10⁻¹¹,(2.2 ± 0.07) × 10⁻¹¹,(2.71 ± 0.07) × 10⁻¹¹,(3.07 ± 0.1) × 10⁻¹¹
PKS 0637-752,00080996001,57362.61,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,15.39 ± 0.04,16.2 ± 0.03,15.9 ± 0.05,15.15 ± 0.03,15.13 ± 0.03,15.31 ± 0.03,(1.32 ± 0.04) × 10⁻¹¹,(1.34 ± 0.04) × 10⁻¹¹,(1.16 ± 0.05) × 10⁻¹¹,(1.61 ± 0.05) × 10⁻¹¹,(1.86 ± 0.05) × 10⁻¹¹,(1.76 ± 0.04) × 10⁻¹¹
PKS 0637-752,00037895009,58370.04,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.67 ± 0.03,-,-,-,-,-,(3.16 ± 0.1) × 10⁻¹¹
PKS 0637-752,00037895010,58374.89,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.69 ± 0.03,-,-,-,-,-,(3.09 ± 0.09) × 10⁻¹¹
PKS 0637-752,00037895011,58378.74,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.71 ± 0.03,-,-,-,-,-,(3.06 ± 0.09) × 10⁻¹¹
PKS 0637-752,00037895012,58382.26,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.7 ± 0.03,-,-,-,-,-,(3.06 ± 0.09) × 10⁻¹¹
PKS 0637-752,00037895013,58386.04,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.66 ± 0.03,-,-,-,-,-,(0.32 ± 0.01) × 10⁻¹⁰
PKS 0637-752,00037895014,58390.42,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.77 ± 0.03,-,-,-,-,-,(2.89 ± 0.08) × 10⁻¹¹
PKS 0637-752,00037895016,58410.02,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.77 ± 0.03,-,-,-,-,-,(2.88 ± 0.09) × 10⁻¹¹
PKS 0637-752,00037895017,58414.08,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.8 ± 0.03,-,-,-,-,-,(2.81 ± 0.08) × 10⁻¹¹
PKS 0637-752,00037895018,58418.45,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.74 ± 0.03,-,-,-,-,-,(2.96 ± 0.09) × 10⁻¹¹
PKS 0637-752,00037895019,58422.5,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,-,14.86 ± 0.03,-,-,-,-,-,(2.65 ± 0.08) × 10⁻¹¹
PKS 0637-752,00037895020,58425.56,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,15.12 ± 0.03,-,-,-,-,-,(1.88 ± 0.05) × 10⁻¹¹,-
PKS 0637-752,00037895021,58429.47,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.83 ± 0.03,-,-,-,-,-,(2.47 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895022,58433.66,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.8 ± 0.03,-,-,-,-,-,(2.54 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895023,58437.5,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.79 ± 0.03,-,-,-,-,-,(2.54 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895024,58445.53,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.78 ± 0.03,-,-,-,-,-,(2.57 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895025,58449.38,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.78 ± 0.03,-,-,-,-,-,(2.58 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895026,58465.74,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.83 ± 0.03,-,-,-,-,-,(2.45 ± 0.06) × 10⁻¹¹,-
PKS 0637-752,00037895027,58469.98,98.94378,-75.27134,6 35 46.5072,-75 16 16.824,-,-,-,-,14.86 ± 0.03,-,-,-,-,-,(2.4 ± 0.06) × 10⁻¹¹,-
