Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 1406-076,00035038001,53617.75,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.39 ± 0.23,21.97 ± 5.14,20.27 ± 2.26,19.27 ± 0.33,20.75 ± 0.55,19.57 ± 0.29,(0.63 ± 0.13) × 10⁻¹²,(0.53 ± 2.49) × 10⁻¹³,(1.76 ± 3.66) × 10⁻¹³,(2.52 ± 0.75) × 10⁻¹³,(0.67 ± 0.34) × 10⁻¹³,(2.09 ± 0.56) × 10⁻¹³
PKS 1406-076,00030937001,54230.64,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.74 ± 0.26,19.11 ± 0.26,18.68 ± 0.41,19.16 ± 0.27,21.35 ± 0.85,19.47 ± 0.44,(0.46 ± 0.11) × 10⁻¹²,(0.73 ± 0.17) × 10⁻¹²,(0.76 ± 0.29) × 10⁻¹²,(2.79 ± 0.7) × 10⁻¹³,(0.39 ± 0.3) × 10⁻¹³,(2.28 ± 0.92) × 10⁻¹³
PKS 1406-076,00035038002,54900.05,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,17.09 ± 0.1,17.92 ± 0.13,17.65 ± 0.22,17.64 ± 0.13,19.46 ± 0.24,17.99 ± 0.24,(2.1 ± 0.2) × 10⁻¹²,(2.2 ± 0.26) × 10⁻¹²,(1.97 ± 0.39) × 10⁻¹²,(1.13 ± 0.14) × 10⁻¹²,(2.22 ± 0.49) × 10⁻¹³,(0.9 ± 0.2) × 10⁻¹²
PKS 1406-076,00035038003,54907.73,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,17.56 ± 0.11,18.01 ± 0.11,17.6 ± 0.16,17.83 ± 0.12,19.42 ± 0.19,18.43 ± 0.18,(1.36 ± 0.13) × 10⁻¹²,(2.03 ± 0.2) × 10⁻¹²,(2.05 ± 0.31) × 10⁻¹²,(0.95 ± 0.1) × 10⁻¹²,(2.28 ± 0.41) × 10⁻¹³,(0.6 ± 0.1) × 10⁻¹²
PKS 1406-076,00035038004,54914.56,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.15 ± 0.17,18.76 ± 0.2,18.52 ± 0.54,18.48 ± 0.19,20.17 ± 0.5,19.16 ± 0.4,(0.79 ± 0.13) × 10⁻¹²,(1.01 ± 0.19) × 10⁻¹²,(0.88 ± 0.44) × 10⁻¹²,(0.52 ± 0.09) × 10⁻¹²,(1.15 ± 0.53) × 10⁻¹³,(3.05 ± 1.12) × 10⁻¹³
PKS 1406-076,00035038005,54921.4,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,17.81 ± 0.18,18.37 ± 0.19,17.85 ± 0.27,18.31 ± 0.21,19.72 ± 0.33,19.21 ± 0.4,(1.07 ± 0.18) × 10⁻¹²,(1.46 ± 0.26) × 10⁻¹²,(1.64 ± 0.41) × 10⁻¹²,(0.61 ± 0.12) × 10⁻¹²,(1.74 ± 0.53) × 10⁻¹³,(2.92 ± 1.07) × 10⁻¹³
PKS 1406-076,00035038006,54935.19,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.12 ± 0.25,18.75 ± 0.3,17.91 ± 0.34,19.83 ± 0.66,21.1 ± 1.05,18.84 ± 0.51,(0.81 ± 0.19) × 10⁻¹²,(1.03 ± 0.28) × 10⁻¹²,(1.55 ± 0.48) × 10⁻¹²,(1.51 ± 0.91) × 10⁻¹³,(0.49 ± 0.47) × 10⁻¹³,(0.41 ± 0.19) × 10⁻¹²
PKS 1406-076,00035038007,54956.43,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.36 ± 0.4,18.76 ± 0.41,19.09 ± 1.2,18.96 ± 0.51,20.02 ± 0.66,18.88 ± 0.53,(0.65 ± 0.24) × 10⁻¹²,(1.01 ± 0.38) × 10⁻¹²,(0.52 ± 0.57) × 10⁻¹²,(0.33 ± 0.16) × 10⁻¹²,(1.31 ± 0.8) × 10⁻¹³,(0.4 ± 0.19) × 10⁻¹²
PKS 1406-076,00030937003,54964.42,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.64 ± 0.28,-,-,-,-,-,(0.5 ± 0.13) × 10⁻¹²,-,-,-,-,-
PKS 1406-076,00030937002,54964.48,212.23534,-7.87407,14 08 56.4816,-7 52 26.652,18.4 ± 0.24,18.96 ± 0.27,18.7 ± 0.48,19.1 ± 0.32,20.23 ± 0.43,19.37 ± 0.36,(0.63 ± 0.14) × 10⁻¹²,(0.85 ± 0.21) × 10⁻¹²,(0.75 ± 0.33) × 10⁻¹²,(2.94 ± 0.88) × 10⁻¹³,(1.09 ± 0.43) × 10⁻¹³,(2.51 ± 0.83) × 10⁻¹³
