Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 0414+009,00030813001,54029.03,64.21871,1.08997,4 16 52.4904,1 05 23.892,16.05 ± 0.03,16.95 ± 0.03,16.53 ± 0.04,-,-,-,(0.8 ± 0.02) × 10⁻¹¹,(0.74 ± 0.02) × 10⁻¹¹,(0.7 ± 0.02) × 10⁻¹¹,-,-,-
1ES 0414+009,00030813002,54030.03,64.21871,1.08997,4 16 52.4904,1 05 23.892,-,-,16.58 ± 0.05,-,-,-,-,-,(0.67 ± 0.03) × 10⁻¹¹,-,-,-
1ES 0414+009,00030813003,54031.04,64.21871,1.08997,4 16 52.4904,1 05 23.892,16.09 ± 0.06,-,16.55 ± 0.04,-,-,-,(0.78 ± 0.04) × 10⁻¹¹,-,(0.69 ± 0.02) × 10⁻¹¹,-,-,-
1ES 0414+009,00030813004,54494.16,64.21871,1.08997,4 16 52.4904,1 05 23.892,-,-,-,-,-,16.57 ± 0.04,-,-,-,-,-,(0.69 ± 0.02) × 10⁻¹¹
1ES 0414+009,00030813005,54494.23,64.21871,1.08997,4 16 52.4904,1 05 23.892,-,-,-,-,-,16.53 ± 0.04,-,-,-,-,-,(0.71 ± 0.03) × 10⁻¹¹
1ES 0414+009,00030813006,54500.21,64.21871,1.08997,4 16 52.4904,1 05 23.892,16.49 ± 0.03,-,-,-,-,-,(0.54 ± 0.02) × 10⁻¹¹,-,-,-,-,-
1ES 0414+009,00030813007,55231.17,64.21871,1.08997,4 16 52.4904,1 05 23.892,16.17 ± 0.05,17.0 ± 0.06,16.73 ± 0.09,16.04 ± 0.05,16.04 ± 0.04,16.01 ± 0.05,(0.72 ± 0.04) × 10⁻¹¹,(0.71 ± 0.04) × 10⁻¹¹,(0.58 ± 0.05) × 10⁻¹¹,(0.83 ± 0.04) × 10⁻¹¹,(0.99 ± 0.04) × 10⁻¹¹,(1.15 ± 0.06) × 10⁻¹¹
1ES 0414+009,00030813008,55241.13,64.21871,1.08997,4 16 52.4904,1 05 23.892,16.14 ± 0.05,16.9 ± 0.06,16.69 ± 0.09,16.17 ± 0.06,16.11 ± 0.04,16.08 ± 0.06,(0.75 ± 0.04) × 10⁻¹¹,(0.78 ± 0.04) × 10⁻¹¹,(0.61 ± 0.05) × 10⁻¹¹,(0.74 ± 0.04) × 10⁻¹¹,(0.92 ± 0.03) × 10⁻¹¹,(1.08 ± 0.06) × 10⁻¹¹
1ES 0414+009,00030813009,55974.18,64.21871,1.08997,4 16 52.4904,1 05 23.892,15.62 ± 0.05,16.56 ± 0.05,16.28 ± 0.07,15.58 ± 0.04,15.58 ± 0.04,15.56 ± 0.05,(1.2 ± 0.05) × 10⁻¹¹,(1.07 ± 0.05) × 10⁻¹¹,(0.88 ± 0.06) × 10⁻¹¹,(1.27 ± 0.05) × 10⁻¹¹,(1.51 ± 0.05) × 10⁻¹¹,(1.75 ± 0.07) × 10⁻¹¹
1ES 0414+009,00030813010,55979.12,64.21871,1.08997,4 16 52.4904,1 05 23.892,15.54 ± 0.05,16.49 ± 0.05,16.18 ± 0.07,15.48 ± 0.04,15.55 ± 0.04,15.48 ± 0.05,(1.29 ± 0.06) × 10⁻¹¹,(1.14 ± 0.05) × 10⁻¹¹,(0.97 ± 0.07) × 10⁻¹¹,(1.39 ± 0.06) × 10⁻¹¹,(1.56 ± 0.05) × 10⁻¹¹,(1.87 ± 0.08) × 10⁻¹¹
