Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 2155-304,00035027001,53691.87,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.05 ± 0.03,13.0 ± 0.03,12.62 ± 0.03,11.81 ± 0.02,12.01 ± 0.02,11.74 ± 0.02,(2.04 ± 0.06) × 10⁻¹⁰,(1.95 ± 0.05) × 10⁻¹⁰,(1.95 ± 0.05) × 10⁻¹⁰,(2.22 ± 0.05) × 10⁻¹⁰,(1.92 ± 0.04) × 10⁻¹⁰,(2.52 ± 0.06) × 10⁻¹⁰
PKS 2155-304,00035027002,53836.38,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.29 ± 0.04,13.17 ± 0.04,12.88 ± 0.04,12.09 ± 0.03,12.14 ± 0.03,12.1 ± 0.03,(1.64 ± 0.06) × 10⁻¹⁰,(1.67 ± 0.06) × 10⁻¹⁰,(1.54 ± 0.05) × 10⁻¹⁰,(1.73 ± 0.05) × 10⁻¹⁰,(1.7 ± 0.04) × 10⁻¹⁰,(1.81 ± 0.05) × 10⁻¹⁰
PKS 2155-304,00035027003,53841.48,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.51 ± 0.04,13.39 ± 0.03,13.08 ± 0.04,12.3 ± 0.03,12.35 ± 0.03,12.24 ± 0.03,(1.34 ± 0.04) × 10⁻¹⁰,(1.36 ± 0.04) × 10⁻¹⁰,(1.27 ± 0.04) × 10⁻¹⁰,(1.42 ± 0.04) × 10⁻¹⁰,(1.39 ± 0.03) × 10⁻¹⁰,(1.59 ± 0.04) × 10⁻¹⁰
PKS 2155-304,00035027004,53845.73,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.29 ± 0.04,13.23 ± 0.03,12.87 ± 0.03,12.06 ± 0.03,12.11 ± 0.02,12.05 ± 0.03,(1.64 ± 0.05) × 10⁻¹⁰,(1.57 ± 0.05) × 10⁻¹⁰,(1.55 ± 0.05) × 10⁻¹⁰,(1.78 ± 0.04) × 10⁻¹⁰,(1.75 ± 0.04) × 10⁻¹⁰,(1.89 ± 0.05) × 10⁻¹⁰
PKS 2155-304,00035027005,53855.87,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.45 ± 0.03,13.42 ± 0.03,13.07 ± 0.03,12.31 ± 0.02,12.37 ± 0.02,12.28 ± 0.03,(1.41 ± 0.04) × 10⁻¹⁰,(1.33 ± 0.03) × 10⁻¹⁰,(1.29 ± 0.04) × 10⁻¹⁰,(1.4 ± 0.03) × 10⁻¹⁰,(1.37 ± 0.03) × 10⁻¹⁰,(1.54 ± 0.04) × 10⁻¹⁰
PKS 2155-304,00030795001,53946.19,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.11 ± 0.03,13.07 ± 0.02,12.71 ± 0.03,11.9 ± 0.02,11.95 ± 0.02,11.78 ± 0.02,(1.94 ± 0.05) × 10⁻¹⁰,(1.83 ± 0.04) × 10⁻¹⁰,(1.79 ± 0.04) × 10⁻¹⁰,(2.05 ± 0.04) × 10⁻¹⁰,(2.02 ± 0.04) × 10⁻¹⁰,(2.44 ± 0.05) × 10⁻¹⁰
PKS 2155-304,00030795002,53948.06,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,11.91 ± 1.09,12.8 ± 0.03,12.51 ± 0.03,11.6 ± 0.02,11.63 ± 0.02,11.53 ± 0.02,(2.32 ± 2.33) × 10⁻¹⁰,(2.35 ± 0.06) × 10⁻¹⁰,(2.15 ± 0.05) × 10⁻¹⁰,(2.72 ± 0.06) × 10⁻¹⁰,(2.71 ± 0.06) × 10⁻¹⁰,(3.08 ± 0.07) × 10⁻¹⁰
PKS 2155-304,00030795003,53949.04,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,11.96 ± 0.03,12.89 ± 0.03,12.56 ± 0.03,11.71 ± 0.02,11.71 ± 0.02,11.63 ± 0.02,(2.23 ± 0.06) × 10⁻¹⁰,(2.15 ± 0.05) × 10⁻¹⁰,(2.05 ± 0.05) × 10⁻¹⁰,(2.44 ± 0.05) × 10⁻¹⁰,(2.52 ± 0.05) × 10⁻¹⁰,(2.8 ± 0.06) × 10⁻¹⁰
PKS 2155-304,00030795004,53950.07,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,11.96 ± 0.03,12.96 ± 0.02,12.65 ± 0.03,11.79 ± 0.02,11.8 ± 0.02,11.7 ± 0.02,(2.21 ± 0.06) × 10⁻¹⁰,(2.01 ± 0.05) × 10⁻¹⁰,(1.9 ± 0.05) × 10⁻¹⁰,(2.27 ± 0.05) × 10⁻¹⁰,(2.31 ± 0.05) × 10⁻¹⁰,(2.63 ± 0.06) × 10⁻¹⁰
PKS 2155-304,00030795005,53952.14,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.03 ± 0.03,12.97 ± 0.03,12.67 ± 0.03,11.78 ± 0.02,11.79 ± 0.02,11.68 ± 0.02,(2.08 ± 0.06) × 10⁻¹⁰,(2.0 ± 0.05) × 10⁻¹⁰,(1.86 ± 0.05) × 10⁻¹⁰,(2.29 ± 0.05) × 10⁻¹⁰,(2.33 ± 0.05) × 10⁻¹⁰,(2.67 ± 0.06) × 10⁻¹⁰
PKS 2155-304,00030795006,53953.16,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.02 ± 0.03,13.0 ± 0.03,12.75 ± 0.06,11.79 ± 0.02,11.8 ± 0.02,-,(2.09 ± 0.06) × 10⁻¹⁰,(1.94 ± 0.05) × 10⁻¹⁰,(1.72 ± 0.1) × 10⁻¹⁰,(2.28 ± 0.05) × 10⁻¹⁰,(2.32 ± 0.05) × 10⁻¹⁰,-
PKS 2155-304,00030795009,53957.97,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,12.01 ± 0.03,12.91 ± 0.03,12.6 ± 0.03,11.78 ± 0.02,11.81 ± 0.02,11.68 ± 0.02,(2.12 ± 0.06) × 10⁻¹⁰,(2.11 ± 0.05) × 10⁻¹⁰,(1.98 ± 0.05) × 10⁻¹⁰,(2.29 ± 0.05) × 10⁻¹⁰,(2.29 ± 0.05) × 10⁻¹⁰,(2.66 ± 0.06) × 10⁻¹⁰
PKS 2155-304,00030795010,53958.27,329.71694,-30.22559,21 58 52.0656,-30 13 32.124,11.96 ± 0.04,12.94 ± 0.03,12.59 ± 0.03,11.68 ± 0.03,11.72 ± 0.02,11.63 ± 0.03,(2.23 ± 0.08) × 10⁻¹⁰,(2.06 ± 0.06) × 10⁻¹⁰,(1.99 ± 0.06) × 10⁻¹⁰,(2.53 ± 0.06) × 10⁻¹⁰,(2.5 ± 0.06) × 10⁻¹⁰,(2.78 ± 0.07) × 10⁻¹⁰
