Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
3C 454.3,00035030001,53485.46,343.49062,16.14821,22 53 57.7488,16 08 53.556,13.72 ± 0.03,14.45 ± 0.03,13.72 ± 0.03,13.94 ± 0.03,14.41 ± 0.03,14.21 ± 0.03,(0.65 ± 0.02) × 10⁻¹⁰,(0.71 ± 0.02) × 10⁻¹⁰,(0.89 ± 0.03) × 10⁻¹⁰,(0.53 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰
3C 454.3,00035030003,53507.85,343.49062,16.14821,22 53 57.7488,16 08 53.556,13.37 ± 0.03,14.15 ± 0.03,13.44 ± 0.03,13.66 ± 0.03,14.17 ± 0.03,13.97 ± 0.03,(0.89 ± 0.02) × 10⁻¹⁰,(0.93 ± 0.02) × 10⁻¹⁰,(1.16 ± 0.03) × 10⁻¹⁰,(0.68 ± 0.02) × 10⁻¹⁰,(0.49 ± 0.01) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰
3C 454.3,00035030005,54292.89,343.49062,16.14821,22 53 57.7488,16 08 53.556,14.33 ± 0.03,14.97 ± 0.03,14.39 ± 0.03,14.5 ± 0.03,14.97 ± 0.03,14.77 ± 0.03,(0.37 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.49 ± 0.02) × 10⁻¹⁰,(3.14 ± 0.09) × 10⁻¹¹,(2.37 ± 0.06) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰
3C 454.3,00035030006,54293.92,343.49062,16.14821,22 53 57.7488,16 08 53.556,14.32 ± 0.03,14.99 ± 0.03,14.5 ± 0.04,14.49 ± 0.03,14.9 ± 0.03,14.71 ± 0.04,(0.37 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻¹⁰,(2.53 ± 0.07) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
3C 454.3,00035030007,54294.6,343.49062,16.14821,22 53 57.7488,16 08 53.556,14.36 ± 0.03,15.05 ± 0.03,14.57 ± 0.04,14.57 ± 0.03,14.99 ± 0.03,14.82 ± 0.04,(0.36 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(2.95 ± 0.09) × 10⁻¹¹,(2.33 ± 0.07) × 10⁻¹¹,(3.05 ± 0.12) × 10⁻¹¹
3C 454.3,00035030008,54295.66,343.49062,16.14821,22 53 57.7488,16 08 53.556,14.33 ± 0.04,15.06 ± 0.03,14.45 ± 0.04,14.6 ± 0.04,14.99 ± 0.03,14.78 ± 0.04,(0.37 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.02) × 10⁻¹⁰,(2.86 ± 0.1) × 10⁻¹¹,(2.33 ± 0.07) × 10⁻¹¹,(0.32 ± 0.01) × 10⁻¹⁰
3C 454.3,00035030009,54298.64,343.49062,16.14821,22 53 57.7488,16 08 53.556,13.89 ± 0.03,14.62 ± 0.02,-,14.14 ± 0.03,14.61 ± 0.03,-,(0.55 ± 0.01) × 10⁻¹⁰,(0.6 ± 0.01) × 10⁻¹⁰,-,(0.44 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,-
3C 454.3,00035030010,54301.02,343.49062,16.14821,22 53 57.7488,16 08 53.556,-,-,-,13.72 ± 0.02,14.16 ± 0.03,13.99 ± 0.03,-,-,-,(0.64 ± 0.01) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.66 ± 0.02) × 10⁻¹⁰
3C 454.3,00035030013,54307.05,343.49062,16.14821,22 53 57.7488,16 08 53.556,-,-,-,14.78 ± 0.03,15.25 ± 0.03,15.04 ± 0.03,-,-,-,(2.42 ± 0.06) × 10⁻¹¹,(1.84 ± 0.05) × 10⁻¹¹,(2.49 ± 0.08) × 10⁻¹¹
3C 454.3,00035030014,54309.38,343.49062,16.14821,22 53 57.7488,16 08 53.556,-,-,-,14.5 ± 0.04,14.91 ± 0.04,14.71 ± 0.04,-,-,-,(3.14 ± 0.11) × 10⁻¹¹,(2.5 ± 0.09) × 10⁻¹¹,(0.34 ± 0.01) × 10⁻¹⁰
