Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
1ES 1011+496,00035012007,54404.35,153.76725,49.43353,10 15 04.14,49 26 00.708,14.4 ± 0.03,-,-,-,-,-,(2.24 ± 0.05) × 10⁻¹¹,-,-,-,-,-
1ES 1011+496,00035012008,54584.93,153.76725,49.43353,10 15 04.14,49 26 00.708,14.6 ± 0.03,15.62 ± 0.03,15.28 ± 0.04,14.43 ± 0.03,14.41 ± 0.03,14.3 ± 0.03,(1.86 ± 0.05) × 10⁻¹¹,(1.68 ± 0.05) × 10⁻¹¹,(1.64 ± 0.06) × 10⁻¹¹,(1.87 ± 0.05) × 10⁻¹¹,(1.93 ± 0.05) × 10⁻¹¹,(2.19 ± 0.06) × 10⁻¹¹
1ES 1011+496,00035012009,54586.83,153.76725,49.43353,10 15 04.14,49 26 00.708,14.58 ± 0.05,-,-,14.28 ± 0.03,-,-,(1.9 ± 0.1) × 10⁻¹¹,-,-,(2.15 ± 0.06) × 10⁻¹¹,-,-
1ES 1011+496,00035012011,54588.96,153.76725,49.43353,10 15 04.14,49 26 00.708,14.59 ± 0.03,15.54 ± 0.03,15.24 ± 0.05,14.32 ± 0.03,14.3 ± 0.03,14.22 ± 0.04,(1.87 ± 0.06) × 10⁻¹¹,(1.81 ± 0.06) × 10⁻¹¹,(1.69 ± 0.08) × 10⁻¹¹,(2.07 ± 0.06) × 10⁻¹¹,(2.13 ± 0.05) × 10⁻¹¹,(2.36 ± 0.08) × 10⁻¹¹
1ES 1011+496,00035012012,54589.95,153.76725,49.43353,10 15 04.14,49 26 00.708,14.55 ± 0.03,15.53 ± 0.03,15.27 ± 0.05,14.35 ± 0.03,14.34 ± 0.03,14.35 ± 0.04,(1.95 ± 0.06) × 10⁻¹¹,(1.82 ± 0.06) × 10⁻¹¹,(1.65 ± 0.07) × 10⁻¹¹,(2.02 ± 0.06) × 10⁻¹¹,(2.07 ± 0.05) × 10⁻¹¹,(2.09 ± 0.07) × 10⁻¹¹
1ES 1011+496,00035012014,54590.94,153.76725,49.43353,10 15 04.14,49 26 00.708,14.52 ± 0.03,15.51 ± 0.03,15.19 ± 0.05,14.33 ± 0.03,14.3 ± 0.03,14.24 ± 0.03,(2.0 ± 0.06) × 10⁻¹¹,(1.86 ± 0.06) × 10⁻¹¹,(1.77 ± 0.07) × 10⁻¹¹,(2.06 ± 0.06) × 10⁻¹¹,(2.14 ± 0.05) × 10⁻¹¹,(2.31 ± 0.07) × 10⁻¹¹
1ES 1011+496,00035012013,54591.95,153.76725,49.43353,10 15 04.14,49 26 00.708,14.55 ± 0.03,15.56 ± 0.03,15.13 ± 0.07,14.44 ± 0.03,14.49 ± 0.03,14.07 ± 0.08,(1.95 ± 0.05) × 10⁻¹¹,(1.77 ± 0.05) × 10⁻¹¹,(1.87 ± 0.12) × 10⁻¹¹,(1.86 ± 0.05) × 10⁻¹¹,(1.79 ± 0.04) × 10⁻¹¹,(2.71 ± 0.2) × 10⁻¹¹
1ES 1011+496,00035012015,54592.94,153.76725,49.43353,10 15 04.14,49 26 00.708,14.47 ± 0.03,15.47 ± 0.03,15.12 ± 0.04,14.3 ± 0.03,14.25 ± 0.02,14.19 ± 0.03,(2.09 ± 0.06) × 10⁻¹¹,(1.92 ± 0.05) × 10⁻¹¹,(1.88 ± 0.07) × 10⁻¹¹,(2.12 ± 0.05) × 10⁻¹¹,(2.24 ± 0.05) × 10⁻¹¹,(2.42 ± 0.06) × 10⁻¹¹
1ES 1011+496,00035012016,54593.51,153.76725,49.43353,10 15 04.14,49 26 00.708,14.5 ± 0.03,15.48 ± 0.03,15.21 ± 0.05,14.3 ± 0.03,14.25 ± 0.03,14.21 ± 0.03,(2.04 ± 0.06) × 10⁻¹¹,(1.9 ± 0.06) × 10⁻¹¹,(1.74 ± 0.08) × 10⁻¹¹,(2.12 ± 0.06) × 10⁻¹¹,(2.23 ± 0.06) × 10⁻¹¹,(2.37 ± 0.07) × 10⁻¹¹
1ES 1011+496,00035012017,54594.4,153.76725,49.43353,10 15 04.14,49 26 00.708,14.53 ± 0.04,15.45 ± 0.04,15.27 ± 0.06,14.41 ± 0.04,14.27 ± 0.03,14.19 ± 0.04,(1.98 ± 0.07) × 10⁻¹¹,(1.96 ± 0.07) × 10⁻¹¹,(1.64 ± 0.09) × 10⁻¹¹,(1.91 ± 0.07) × 10⁻¹¹,(2.2 ± 0.06) × 10⁻¹¹,(2.42 ± 0.1) × 10⁻¹¹
