Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
GB6 J1159+2914,00036381001,54278.29,179.88264,29.24551,11 59 31.8336,29 14 43.836,-,-,-,-,-,16.43 ± 0.03,-,-,-,-,-,(0.33 ± 0.01) × 10⁻¹¹
GB6 J1159+2914,00036381002,54428.56,179.88264,29.24551,11 59 31.8336,29 14 43.836,17.17 ± 0.04,-,-,-,-,-,(1.8 ± 0.06) × 10⁻¹²,-,-,-,-,-
GB6 J1159+2914,00036381003,54764.18,179.88264,29.24551,11 59 31.8336,29 14 43.836,16.87 ± 0.04,-,-,-,-,-,(2.39 ± 0.08) × 10⁻¹²,-,-,-,-,-
GB6 J1159+2914,00036381004,54791.26,179.88264,29.24551,11 59 31.8336,29 14 43.836,-,-,-,16.8 ± 0.03,-,-,-,-,-,(2.22 ± 0.07) × 10⁻¹²,-,-
GB6 J1159+2914,00090087001,54929.36,179.88264,29.24551,11 59 31.8336,29 14 43.836,17.53 ± 0.06,18.41 ± 0.11,18.02 ± 0.22,17.24 ± 0.05,-,-,(1.3 ± 0.07) × 10⁻¹²,(1.33 ± 0.13) × 10⁻¹²,(1.34 ± 0.27) × 10⁻¹²,(1.48 ± 0.07) × 10⁻¹²,-,-
GB6 J1159+2914,00090087002,54964.9,179.88264,29.24551,11 59 31.8336,29 14 43.836,17.74 ± 0.07,18.54 ± 0.11,18.02 ± 0.16,17.43 ± 0.05,-,-,(1.08 ± 0.07) × 10⁻¹²,(1.18 ± 0.12) × 10⁻¹²,(1.33 ± 0.2) × 10⁻¹²,(1.25 ± 0.06) × 10⁻¹²,-,-
GB6 J1159+2914,00036381005,55180.22,179.88264,29.24551,11 59 31.8336,29 14 43.836,16.22 ± 0.03,-,-,-,-,-,(0.43 ± 0.01) × 10⁻¹¹,-,-,-,-,-
GB6 J1159+2914,00036381006,55344.24,179.88264,29.24551,11 59 31.8336,29 14 43.836,16.81 ± 0.04,-,-,-,-,-,(2.51 ± 0.08) × 10⁻¹²,-,-,-,-,-
GB6 J1159+2914,00036381007,55344.48,179.88264,29.24551,11 59 31.8336,29 14 43.836,16.93 ± 0.07,17.71 ± 0.08,-,17.05 ± 0.07,17.08 ± 0.06,-,(2.26 ± 0.15) × 10⁻¹²,(2.53 ± 0.19) × 10⁻¹²,-,(1.76 ± 0.12) × 10⁻¹²,(1.75 ± 0.09) × 10⁻¹²,-
GB6 J1159+2914,00091086001,55656.07,179.88264,29.24551,11 59 31.8336,29 14 43.836,17.28 ± 0.1,18.05 ± 0.12,17.65 ± 0.18,16.87 ± 0.08,17.17 ± 0.07,16.98 ± 0.1,(1.64 ± 0.16) × 10⁻¹²,(1.85 ± 0.21) × 10⁻¹²,(1.88 ± 0.32) × 10⁻¹²,(2.08 ± 0.16) × 10⁻¹²,(1.62 ± 0.11) × 10⁻¹²,(2.0 ± 0.18) × 10⁻¹²
GB6 J1159+2914,00091086002,55656.47,179.88264,29.24551,11 59 31.8336,29 14 43.836,17.36 ± 0.04,-,-,-,-,-,(1.52 ± 0.06) × 10⁻¹²,-,-,-,-,-
GB6 J1159+2914,00036381008,55714.58,179.88264,29.24551,11 59 31.8336,29 14 43.836,16.96 ± 0.06,17.56 ± 0.06,17.17 ± 0.09,16.71 ± 0.06,16.93 ± 0.05,16.68 ± 0.04,(2.19 ± 0.13) × 10⁻¹²,(2.89 ± 0.17) × 10⁻¹²,(2.93 ± 0.25) × 10⁻¹²,(2.42 ± 0.12) × 10⁻¹²,(2.02 ± 0.08) × 10⁻¹²,(2.63 ± 0.09) × 10⁻¹²
