Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 1730-130,00035387001,53776.21,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,18.47 ± 0.43,18.1 ± 0.33,18.76 ± 0.89,19.67 ± 0.78,20.71 ± 0.92,20.65 ± 1.18,(0.53 ± 0.21) × 10⁻¹¹,(1.13 ± 0.35) × 10⁻¹¹,(2.72 ± 2.22) × 10⁻¹²,(0.33 ± 0.24) × 10⁻¹¹,(2.68 ± 2.27) × 10⁻¹²,(0.47 ± 0.52) × 10⁻¹¹
PKS 1730-130,00035387002,53780.2,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,18.97 ± 0.64,21.41 ± 5.94,19.24 ± 1.28,21.6 ± 4.07,22.3 ± 3.58,24.31 ± 28.04,(0.34 ± 0.2) × 10⁻¹¹,(0.54 ± 2.94) × 10⁻¹²,(1.75 ± 2.07) × 10⁻¹²,(0.56 ± 2.11) × 10⁻¹²,(0.62 ± 2.06) × 10⁻¹²,(1.63 ± 42.18) × 10⁻¹³
PKS 1730-130,00036347001,54158.32,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,19.14 ± 0.39,19.0 ± 0.27,-,20.23 ± 0.68,20.1 ± 0.36,20.42 ± 0.68,(2.87 ± 1.03) × 10⁻¹²,(0.5 ± 0.12) × 10⁻¹¹,-,(1.99 ± 1.25) × 10⁻¹²,(0.47 ± 0.16) × 10⁻¹¹,(0.59 ± 0.37) × 10⁻¹¹
PKS 1730-130,00035387003,54950.95,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,19.17 ± 0.58,20.16 ± 1.07,18.32 ± 0.59,18.85 ± 0.33,20.54 ± 0.83,-,(2.78 ± 1.48) × 10⁻¹²,(1.7 ± 1.67) × 10⁻¹²,(0.41 ± 0.22) × 10⁻¹¹,(0.71 ± 0.22) × 10⁻¹¹,(3.14 ± 2.4) × 10⁻¹²,-
PKS 1730-130,00035387005,54960.1,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,19.5 ± 0.57,19.43 ± 0.41,18.31 ± 0.38,19.8 ± 0.55,23.2 ± 6.14,24.84 ± 37.88,(2.05 ± 1.08) × 10⁻¹²,(0.33 ± 0.13) × 10⁻¹¹,(0.41 ± 0.14) × 10⁻¹¹,(2.96 ± 1.51) × 10⁻¹²,(2.72 ± 15.37) × 10⁻¹³,(1.0 ± 34.99) × 10⁻¹³
PKS 1730-130,00035387006,54965.32,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,19.29 ± 0.59,19.01 ± 0.37,19.95 ± 1.92,19.7 ± 0.65,22.78 ± 5.26,22.71 ± 7.07,(2.5 ± 1.37) × 10⁻¹²,(0.49 ± 0.17) × 10⁻¹¹,(0.91 ± 1.61) × 10⁻¹²,(0.32 ± 0.19) × 10⁻¹¹,(0.4 ± 1.94) × 10⁻¹²,(0.72 ± 4.66) × 10⁻¹²
PKS 1730-130,00035387007,54972.28,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,19.35 ± 0.53,19.67 ± 0.53,18.15 ± 0.36,19.69 ± 0.54,20.01 ± 0.41,21.28 ± 1.83,(2.37 ± 1.15) × 10⁻¹²,(2.68 ± 1.3) × 10⁻¹²,(0.48 ± 0.16) × 10⁻¹¹,(0.33 ± 0.16) × 10⁻¹¹,(0.51 ± 0.19) × 10⁻¹¹,(2.66 ± 4.49) × 10⁻¹²
PKS 1730-130,00035387008,54979.34,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,20.02 ± 0.73,19.24 ± 0.29,18.05 ± 0.25,20.06 ± 0.56,20.44 ± 0.45,24.78 ± 28.67,(1.28 ± 0.85) × 10⁻¹²,(0.39 ± 0.1) × 10⁻¹¹,(0.52 ± 0.12) × 10⁻¹¹,(2.33 ± 1.21) × 10⁻¹²,(0.35 ± 0.14) × 10⁻¹¹,(1.07 ± 28.13) × 10⁻¹³
PKS 1730-130,00035387009,54986.69,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,18.66 ± 0.33,19.01 ± 0.33,18.09 ± 0.36,19.12 ± 0.38,19.91 ± 0.41,21.1 ± 1.96,(0.45 ± 0.14) × 10⁻¹¹,(0.49 ± 0.15) × 10⁻¹¹,(0.51 ± 0.17) × 10⁻¹¹,(0.55 ± 0.19) × 10⁻¹¹,(0.56 ± 0.22) × 10⁻¹¹,(3.14 ± 5.66) × 10⁻¹²
PKS 1730-130,00090090001,54988.26,263.26127,-13.08043,17 33 02.7048,-13 04 49.548,-,-,-,19.18 ± 0.18,-,-,-,-,-,(0.52 ± 0.09) × 10⁻¹¹,-,-
