Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 0506-61,00038379001,54847.93,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.7 ± 0.09,17.85 ± 0.11,17.48 ± 0.17,16.48 ± 0.08,17.19 ± 0.08,16.55 ± 0.09,(2.85 ± 0.23) × 10⁻¹²,(2.26 ± 0.24) × 10⁻¹²,(2.22 ± 0.36) × 10⁻¹²,(3.08 ± 0.22) × 10⁻¹²,(1.65 ± 0.12) × 10⁻¹²,(3.07 ± 0.25) × 10⁻¹²
PKS 0506-61,00038379004,55508.39,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.7 ± 0.03,-,-,-,-,-,(2.84 ± 0.08) × 10⁻¹²,-,-,-,-,-
PKS 0506-61,00038379005,55509.23,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.72 ± 0.04,17.74 ± 0.05,17.29 ± 0.05,-,-,-,(2.79 ± 0.09) × 10⁻¹²,(2.5 ± 0.11) × 10⁻¹²,(2.67 ± 0.13) × 10⁻¹²,-,-,-
PKS 0506-61,00048281001,56310.58,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,-,-,-,-,-,16.24 ± 0.11,-,-,-,-,-,(0.41 ± 0.04) × 10⁻¹¹
PKS 0506-61,00049663001,56593.94,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.45 ± 0.06,17.53 ± 0.07,17.01 ± 0.1,16.21 ± 0.06,16.79 ± 0.05,16.28 ± 0.06,(0.36 ± 0.02) × 10⁻¹¹,(3.04 ± 0.2) × 10⁻¹²,(0.34 ± 0.03) × 10⁻¹¹,(0.4 ± 0.02) × 10⁻¹¹,(2.39 ± 0.12) × 10⁻¹²,(0.4 ± 0.02) × 10⁻¹¹
PKS 0506-61,00049663002,56942.45,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,-,-,-,-,-,16.91 ± 0.08,-,-,-,-,-,(2.21 ± 0.16) × 10⁻¹²
PKS 0506-61,00049663003,57334.51,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,-,-,-,-,-,16.64 ± 0.09,-,-,-,-,-,(2.82 ± 0.23) × 10⁻¹²
PKS 0506-61,07002522001,57499.82,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,-,-,-,16.42 ± 0.14,-,-,-,-,-,(0.33 ± 0.04) × 10⁻¹¹,-,-
PKS 0506-61,00049663004,57672.35,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.53 ± 0.05,-,-,-,-,-,(0.33 ± 0.01) × 10⁻¹¹,-,-,-,-,-
PKS 0506-61,00049663005,57688.04,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.33 ± 0.07,17.46 ± 0.09,16.77 ± 0.12,16.33 ± 0.07,16.73 ± 0.07,16.41 ± 0.08,(0.4 ± 0.03) × 10⁻¹¹,(0.32 ± 0.03) × 10⁻¹¹,(0.43 ± 0.05) × 10⁻¹¹,(0.35 ± 0.02) × 10⁻¹¹,(2.53 ± 0.16) × 10⁻¹²,(0.35 ± 0.03) × 10⁻¹¹
PKS 0506-61,00049663006,57704.57,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.44 ± 0.04,-,-,-,-,-,(0.36 ± 0.01) × 10⁻¹¹,-,-,-,-,-
PKS 0506-61,00049663007,57715.67,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.37 ± 0.08,17.66 ± 0.11,17.01 ± 0.15,16.32 ± 0.09,16.59 ± 0.07,16.23 ± 0.09,(0.39 ± 0.03) × 10⁻¹¹,(2.68 ± 0.28) × 10⁻¹²,(0.34 ± 0.05) × 10⁻¹¹,(0.36 ± 0.03) × 10⁻¹¹,(2.87 ± 0.19) × 10⁻¹²,(0.41 ± 0.03) × 10⁻¹¹
PKS 0506-61,00049663008,58008.31,76.68329,-61.16139,5 06 43.9896,-61 09 41.004,16.34 ± 0.04,-,-,-,-,-,(0.4 ± 0.02) × 10⁻¹¹,-,-,-,-,-
