Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
3C 273,00050900004,53561.6,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.92 ± 1.09,12.85 ± 0.04,12.69 ± 0.03,-,-,-,(2.3 ± 2.31) × 10⁻¹⁰,(2.22 ± 0.08) × 10⁻¹⁰,(1.83 ± 0.06) × 10⁻¹⁰,-,-,-
3C 273,00050900005,53561.66,187.27792,2.05239,12 29 06.7008,2 03 08.604,-,-,-,11.28 ± 0.04,11.29 ± 0.04,11.16 ± 0.03,-,-,-,(0.36 ± 0.01) × 10⁻⁹,(0.37 ± 0.01) × 10⁻⁹,(0.43 ± 0.01) × 10⁻⁹
3C 273,00035017001,53689.33,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.93 ± 1.1,12.96 ± 0.03,12.61 ± 0.03,11.23 ± 0.02,11.07 ± 0.02,11.06 ± 0.02,(2.27 ± 2.31) × 10⁻¹⁰,(2.01 ± 0.05) × 10⁻¹⁰,(1.95 ± 0.05) × 10⁻¹⁰,(0.38 ± 0.01) × 10⁻⁹,(0.45 ± 0.01) × 10⁻⁹,(0.47 ± 0.01) × 10⁻⁹
3C 273,00035017002,53691.73,187.27792,2.05239,12 29 06.7008,2 03 08.604,-,-,12.68 ± 0.05,-,11.04 ± 0.02,-,-,-,(1.84 ± 0.08) × 10⁻¹⁰,-,(0.46 ± 0.01) × 10⁻⁹,-
3C 273,00035017011,53721.92,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.92 ± 1.09,12.81 ± 0.03,12.57 ± 0.03,11.19 ± 0.02,11.03 ± 0.02,11.05 ± 0.02,(2.3 ± 2.31) × 10⁻¹⁰,(2.31 ± 0.06) × 10⁻¹⁰,(2.02 ± 0.05) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻⁹,(0.47 ± 0.01) × 10⁻⁹,(0.47 ± 0.01) × 10⁻⁹
3C 273,00050900010,54112.51,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.91 ± 1.09,12.89 ± 0.03,12.67 ± 0.03,11.41 ± 0.02,11.31 ± 0.02,11.29 ± 0.02,(2.31 ± 2.32) × 10⁻¹⁰,(2.15 ± 0.05) × 10⁻¹⁰,(1.86 ± 0.05) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻⁹,(0.36 ± 0.01) × 10⁻⁹,(0.38 ± 0.01) × 10⁻⁹
3C 273,00050900011,54113.44,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.9 ± 1.09,12.91 ± 0.03,12.65 ± 0.03,11.4 ± 0.02,11.32 ± 0.02,11.31 ± 0.02,(2.33 ± 2.33) × 10⁻¹⁰,(2.11 ± 0.05) × 10⁻¹⁰,(1.89 ± 0.05) × 10⁻¹⁰,(0.32 ± 0.01) × 10⁻⁹,(0.36 ± 0.01) × 10⁻⁹,(0.37 ± 0.01) × 10⁻⁹
3C 273,00035017012,54442.91,187.27792,2.05239,12 29 06.7008,2 03 08.604,-,-,-,-,-,11.1 ± 0.02,-,-,-,-,-,(0.45 ± 0.01) × 10⁻⁹
3C 273,00035017013,54443.1,187.27792,2.05239,12 29 06.7008,2 03 08.604,-,-,-,11.23 ± 0.02,-,-,-,-,-,(0.38 ± 0.01) × 10⁻⁹,-,-
3C 273,00035017014,54469.69,187.27792,2.05239,12 29 06.7008,2 03 08.604,11.88 ± 1.09,12.79 ± 0.02,12.6 ± 0.03,11.31 ± 0.02,11.19 ± 0.02,11.18 ± 0.02,(2.37 ± 2.37) × 10⁻¹⁰,(2.36 ± 0.05) × 10⁻¹⁰,(1.98 ± 0.05) × 10⁻¹⁰,(0.35 ± 0.01) × 10⁻⁹,(0.4 ± 0.01) × 10⁻⁹,(0.42 ± 0.01) × 10⁻⁹
