Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PG 1553+113,00031368157,57546.26,238.92935,11.1901,15 55 43.044,11 11 24.36,13.78 ± 0.03,14.69 ± 0.03,14.53 ± 0.04,13.73 ± 0.03,13.81 ± 0.03,13.72 ± 0.03,(0.47 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368158,57547.12,238.92935,11.1901,15 55 43.044,11 11 24.36,13.81 ± 0.03,14.78 ± 0.03,14.47 ± 0.04,13.76 ± 0.03,13.81 ± 0.03,13.73 ± 0.04,(0.46 ± 0.01) × 10⁻¹⁰,(0.42 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368159,57554.83,238.92935,11.1901,15 55 43.044,11 11 24.36,13.76 ± 0.03,14.71 ± 0.03,14.49 ± 0.05,13.6 ± 0.03,13.67 ± 0.03,13.54 ± 0.03,(0.48 ± 0.02) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.38 ± 0.02) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.62 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368160,57561.92,238.92935,11.1901,15 55 43.044,11 11 24.36,13.87 ± 0.03,14.74 ± 0.03,-,13.7 ± 0.03,-,-,(0.44 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,-,(0.47 ± 0.01) × 10⁻¹⁰,-,-
PG 1553+113,00031368161,57568.63,238.92935,11.1901,15 55 43.044,11 11 24.36,13.67 ± 0.03,14.65 ± 0.03,14.33 ± 0.05,13.57 ± 0.03,13.66 ± 0.03,13.6 ± 0.04,(0.53 ± 0.02) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.02) × 10⁻¹⁰,(0.53 ± 0.02) × 10⁻¹⁰,(0.52 ± 0.01) × 10⁻¹⁰,(0.59 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368162,57576.25,238.92935,11.1901,15 55 43.044,11 11 24.36,13.72 ± 0.03,14.67 ± 0.03,14.35 ± 0.04,13.64 ± 0.03,13.75 ± 0.03,13.64 ± 0.03,(0.5 ± 0.02) × 10⁻¹⁰,(0.47 ± 0.01) × 10⁻¹⁰,(0.43 ± 0.02) × 10⁻¹⁰,(0.5 ± 0.01) × 10⁻¹⁰,(0.48 ± 0.01) × 10⁻¹⁰,(0.56 ± 0.02) × 10⁻¹⁰
PG 1553+113,00031368163,57582.08,238.92935,11.1901,15 55 43.044,11 11 24.36,13.82 ± 0.04,14.73 ± 0.03,14.42 ± 0.05,13.77 ± 0.03,13.77 ± 0.03,13.75 ± 0.09,(0.46 ± 0.02) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.4 ± 0.02) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.47 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.04) × 10⁻¹⁰
PG 1553+113,00031368164,57590.74,238.92935,11.1901,15 55 43.044,11 11 24.36,13.94 ± 0.03,14.86 ± 0.03,14.55 ± 0.04,13.86 ± 0.03,13.99 ± 0.03,13.86 ± 0.03,(0.41 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.36 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰,(0.46 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368165,57593.97,238.92935,11.1901,15 55 43.044,11 11 24.36,13.81 ± 0.03,14.72 ± 0.03,14.39 ± 0.04,13.76 ± 0.03,13.82 ± 0.03,13.76 ± 0.03,(0.46 ± 0.01) × 10⁻¹⁰,(0.44 ± 0.01) × 10⁻¹⁰,(0.41 ± 0.02) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.45 ± 0.01) × 10⁻¹⁰,(0.51 ± 0.01) × 10⁻¹⁰
PG 1553+113,00031368167,57608.84,238.92935,11.1901,15 55 43.044,11 11 24.36,14.15 ± 0.04,15.01 ± 0.04,14.61 ± 0.06,14.04 ± 0.04,14.15 ± 0.03,14.06 ± 0.03,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.34 ± 0.02) × 10⁻¹⁰,(0.34 ± 0.01) × 10⁻¹⁰,(0.33 ± 0.01) × 10⁻¹⁰,(0.39 ± 0.01) × 10⁻¹⁰
