Source Name,Observation ID,MJD,RA (deg),DEC (deg),RA (hour),DEC (hour),U Magnitude,B Magnitude,V Magnitude,W1 Magnitude,W2 Magnitude,M2 Magnitude,U Flux,B Flux,V Flux,W1 Flux,W2 Flux,M2 Flux
PKS 1502+106,00035468002,54101.5,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.71 ± 0.12,18.46 ± 0.15,18.07 ± 0.25,18.07 ± 0.14,18.5 ± 0.11,18.25 ± 0.15,(1.16 ± 0.13) × 10⁻¹²,(1.32 ± 0.18) × 10⁻¹²,(1.33 ± 0.31) × 10⁻¹²,(0.75 ± 0.1) × 10⁻¹²,(0.52 ± 0.05) × 10⁻¹²,(0.68 ± 0.09) × 10⁻¹²
PKS 1502+106,00036388001,54133.3,226.10408,10.49422,15 04 24.9792,10 29 39.192,18.4 ± 0.17,19.8 ± 0.38,19.21 ± 0.54,18.71 ± 0.18,19.35 ± 0.18,19.04 ± 0.24,(0.62 ± 0.1) × 10⁻¹²,(0.39 ± 0.13) × 10⁻¹²,(0.46 ± 0.23) × 10⁻¹²,(0.41 ± 0.07) × 10⁻¹²,(2.39 ± 0.39) × 10⁻¹³,(0.33 ± 0.07) × 10⁻¹²
PKS 1502+106,00036388002,54134.37,226.10408,10.49422,15 04 24.9792,10 29 39.192,18.08 ± 0.17,19.36 ± 0.32,19.87 ± 1.18,18.86 ± 0.25,19.08 ± 0.18,18.74 ± 0.24,(0.83 ± 0.13) × 10⁻¹²,(0.58 ± 0.17) × 10⁻¹²,(2.51 ± 2.73) × 10⁻¹³,(0.36 ± 0.08) × 10⁻¹²,(3.07 ± 0.52) × 10⁻¹³,(0.44 ± 0.1) × 10⁻¹²
PKS 1502+106,00035468003,54621.31,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.06 ± 0.08,17.79 ± 0.08,17.92 ± 0.18,17.34 ± 0.08,17.57 ± 0.07,17.51 ± 0.19,(2.13 ± 0.15) × 10⁻¹²,(2.45 ± 0.19) × 10⁻¹²,(1.51 ± 0.26) × 10⁻¹²,(1.46 ± 0.11) × 10⁻¹²,(1.24 ± 0.08) × 10⁻¹²,(1.35 ± 0.23) × 10⁻¹²
PKS 1502+106,00036388003,54685.86,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.44 ± 0.09,17.21 ± 0.1,16.43 ± 0.12,16.72 ± 0.1,17.05 ± 0.09,16.82 ± 0.12,(0.38 ± 0.03) × 10⁻¹¹,(0.42 ± 0.04) × 10⁻¹¹,(0.6 ± 0.07) × 10⁻¹¹,(2.58 ± 0.24) × 10⁻¹²,(1.99 ± 0.16) × 10⁻¹²,(2.56 ± 0.29) × 10⁻¹²
PKS 1502+106,00036388004,54686.81,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.25 ± 0.04,16.97 ± 0.04,16.48 ± 0.06,16.55 ± 0.05,16.85 ± 0.04,16.68 ± 0.05,(0.45 ± 0.02) × 10⁻¹¹,(0.52 ± 0.02) × 10⁻¹¹,(0.57 ± 0.03) × 10⁻¹¹,(3.03 ± 0.13) × 10⁻¹²,(2.39 ± 0.09) × 10⁻¹²,(2.91 ± 0.14) × 10⁻¹²
PKS 1502+106,00036388005,54687.54,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.28 ± 0.05,17.12 ± 0.05,16.63 ± 0.08,16.51 ± 0.05,16.85 ± 0.05,16.58 ± 0.06,(0.43 ± 0.02) × 10⁻¹¹,(0.46 ± 0.02) × 10⁻¹¹,(0.5 ± 0.04) × 10⁻¹¹,(3.14 ± 0.16) × 10⁻¹²,(2.39 ± 0.1) × 10⁻¹²,(0.32 ± 0.02) × 10⁻¹¹
PKS 1502+106,00036388006,54688.52,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.29 ± 0.04,17.02 ± 0.04,16.62 ± 0.06,16.51 ± 0.04,16.86 ± 0.04,16.62 ± 0.07,(0.43 ± 0.02) × 10⁻¹¹,(0.5 ± 0.02) × 10⁻¹¹,(0.5 ± 0.03) × 10⁻¹¹,(3.12 ± 0.13) × 10⁻¹²,(2.37 ± 0.09) × 10⁻¹²,(3.09 ± 0.19) × 10⁻¹²
PKS 1502+106,00036388007,54690.15,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.67 ± 0.05,17.41 ± 0.05,16.96 ± 0.07,16.85 ± 0.05,17.17 ± 0.04,16.99 ± 0.12,(3.04 ± 0.13) × 10⁻¹²,(0.35 ± 0.02) × 10⁻¹¹,(0.37 ± 0.02) × 10⁻¹¹,(2.3 ± 0.1) × 10⁻¹²,(1.78 ± 0.07) × 10⁻¹²,(2.19 ± 0.24) × 10⁻¹²
PKS 1502+106,00036388008,54691.65,226.10408,10.49422,15 04 24.9792,10 29 39.192,-,-,-,17.34 ± 0.05,-,-,-,-,-,(1.46 ± 0.07) × 10⁻¹²,-,-
PKS 1502+106,00036388009,54692.26,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.94 ± 0.1,17.86 ± 0.12,-,17.49 ± 0.12,17.86 ± 0.25,-,(2.37 ± 0.21) × 10⁻¹²,(2.3 ± 0.26) × 10⁻¹²,-,(1.26 ± 0.14) × 10⁻¹²,(0.94 ± 0.22) × 10⁻¹²,-
PKS 1502+106,00036388010,54693.46,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.34 ± 0.1,18.04 ± 0.12,17.92 ± 0.2,17.69 ± 0.11,18.0 ± 0.09,17.86 ± 0.13,(1.64 ± 0.16) × 10⁻¹²,(1.95 ± 0.21) × 10⁻¹²,(1.51 ± 0.28) × 10⁻¹²,(1.06 ± 0.11) × 10⁻¹²,(0.82 ± 0.07) × 10⁻¹²,(0.98 ± 0.12) × 10⁻¹²
PKS 1502+106,00036388011,54694.23,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.41 ± 0.11,18.34 ± 0.15,17.63 ± 0.15,17.92 ± 0.13,18.08 ± 0.09,17.7 ± 0.11,(1.53 ± 0.15) × 10⁻¹²,(1.48 ± 0.2) × 10⁻¹²,(1.99 ± 0.28) × 10⁻¹²,(0.86 ± 0.1) × 10⁻¹²,(0.77 ± 0.06) × 10⁻¹²,(1.14 ± 0.11) × 10⁻¹²
PKS 1502+106,00036388012,54695.3,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.42 ± 0.14,18.4 ± 0.2,17.44 ± 0.18,17.89 ± 0.16,18.17 ± 0.12,18.11 ± 0.22,(1.52 ± 0.19) × 10⁻¹²,(1.4 ± 0.26) × 10⁻¹²,(2.36 ± 0.4) × 10⁻¹²,(0.88 ± 0.13) × 10⁻¹²,(0.71 ± 0.08) × 10⁻¹²,(0.78 ± 0.16) × 10⁻¹²
PKS 1502+106,00036388013,54696.21,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.58 ± 0.14,18.2 ± 0.15,17.6 ± 0.19,17.9 ± 0.15,18.43 ± 0.13,17.96 ± 0.15,(1.32 ± 0.17) × 10⁻¹²,(1.69 ± 0.24) × 10⁻¹²,(2.04 ± 0.35) × 10⁻¹²,(0.87 ± 0.12) × 10⁻¹²,(0.56 ± 0.07) × 10⁻¹²,(0.9 ± 0.12) × 10⁻¹²
PKS 1502+106,00036388014,54697.48,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.5 ± 0.14,19.02 ± 0.3,18.0 ± 0.26,17.9 ± 0.15,18.15 ± 0.12,18.17 ± 0.19,(1.42 ± 0.18) × 10⁻¹²,(0.79 ± 0.22) × 10⁻¹²,(1.41 ± 0.34) × 10⁻¹²,(0.87 ± 0.12) × 10⁻¹²,(0.72 ± 0.08) × 10⁻¹²,(0.74 ± 0.13) × 10⁻¹²
PKS 1502+106,00036388015,54698.65,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.73 ± 0.22,18.45 ± 0.27,18.19 ± 0.44,17.92 ± 0.22,18.33 ± 0.18,18.32 ± 0.29,(1.14 ± 0.23) × 10⁻¹²,(1.34 ± 0.33) × 10⁻¹²,(1.19 ± 0.48) × 10⁻¹²,(0.85 ± 0.17) × 10⁻¹²,(0.61 ± 0.1) × 10⁻¹²,(0.64 ± 0.17) × 10⁻¹²
PKS 1502+106,00036388016,54699.22,226.10408,10.49422,15 04 24.9792,10 29 39.192,17.22 ± 0.15,18.27 ± 0.21,17.89 ± 0.32,17.94 ± 0.21,18.27 ± 0.17,17.71 ± 0.23,(1.82 ± 0.25) × 10⁻¹²,(1.58 ± 0.31) × 10⁻¹²,(1.56 ± 0.46) × 10⁻¹²,(0.84 ± 0.16) × 10⁻¹²,(0.64 ± 0.1) × 10⁻¹²,(1.13 ± 0.24) × 10⁻¹²
PKS 1502+106,00036388017,54700.35,226.10408,10.49422,15 04 24.9792,10 29 39.192,16.92 ± 0.1,17.67 ± 0.12,17.25 ± 0.15,17.1 ± 0.1,17.72 ± 0.09,17.4 ± 0.13,(2.41 ± 0.22) × 10⁻¹²,(2.73 ± 0.29) × 10⁻¹²,(2.83 ± 0.39) × 10⁻¹²,(1.82 ± 0.16) × 10⁻¹²,(1.08 ± 0.09) × 10⁻¹²,(1.5 ± 0.17) × 10⁻¹²
PKS 1502+106,00036388018,55406.3,226.10408,10.49422,15 04 24.9792,10 29 39.192,18.09 ± 0.19,18.53 ± 0.18,17.96 ± 0.22,18.27 ± 0.18,18.78 ± 0.15,18.68 ± 0.24,(0.82 ± 0.14) × 10⁻¹²,(1.24 ± 0.21) × 10⁻¹²,(1.47 ± 0.3) × 10⁻¹²,(0.62 ± 0.1) × 10⁻¹²,(0.4 ± 0.06) × 10⁻¹²,(0.46 ± 0.1) × 10⁻¹²
